ID_compound,SMILES,Common name,Biological Activity,Pathogen,Category,IC50 (µM),Experiment Type,IC50(µg/ml),CC50,Ki,EC50_invitro,EC50 viral,% Inhibition,Tested at [C],Weight,Origin,Formula,Family,Sub family,Nature,Reference,ID_ref,PUBCHEM_CID
36,C1CN(CCC1(C2=CC=C(C=C2)Cl)O)CCCC(=O)C3=CC=C(C=C3)F,,Active,SARS_CoV-2,,40.4576,Viral,,,,,,,,375.871,,C21H23ClFNO2,,,,AID_1409607,,3559
37,Cc1cc2cc(CN(CCc3ccccc3C)C(=O)NCc3ccccc3)c(=O)[nH]c2cc1C,,Active,SARS_CoV,3CLpro_cov,17.1,Enzymo,,,,,,,,453.586,,C29H31N3O2,,,,http://dx.doi.org/10.1021/jm301580n,,
38,N1(CCN(C(=O)C)CC1)S(=O)(=O)c1ccc(cc1)Cl,T6M.pdb,Active,SARS_CoV-2,3CLpro_cov-2,,,,,,,,,,302.783,,C12H15ClN2O3S,,,,5rff.pdb,,
39,C1C2CC3CC1CC(C2)(C3)N.C1=NC(=NN1C2C(C(C(O2)CO)O)O)C(=O)N,interferon and ribavirin,Active,,,,,,,,,,,,395.46,,C18H29N5O5,,,,ResNet-Elsevier,,484583
40,CCC(=O)NC1=CC=C(C=C1)N(C(C2=CSC=C2)C(=O)NC(C)(C)C)C(=O)CN3C4=CC=CC=C4N=N3,,Active,SARS_CoV,3CLpro_cov,,,,,,,,94.15,100 µM,518.643,,C27H30N6O3S,,,,AID_488984,,45382031
41,CCC(=O)Nc4ccc(N(Cc1ccn(C)c1)C(=O)Cn3nnc2ccccc23)cc4,,Active,SARS_CoV,3CLpro_cov,2.9,Enzymo,,,,,,,,416.485,,C23H24N6O2,,,,10.1021/acs.jmedchem.5b01461,163,
42,C1=CC=C(C=C1)C2=C(C3=CC=CC=C3N2C4=CC=CC=C4)/C=N/NC(=O)CC#N,,Active,SARS_CoV,3CLpro_cov,,,,,,,,21.72,6 µM,378.435,,C24H18N4O,,,,AID_1706,,6903089
43,C[C@@H]1CC(=O)C=C([C@]12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,0.16,6 µM,352.77,,C17H17ClO6,,,,AID_1706,,441140
44,C1=CC=C(C=C1)C2=CSC3=C2C(=NC=N3)SCC(=O)NC4=CC=C(C=C4)C(=O)O,,Active,SARS_CoV,3CLpro_cov,,,,,,,,12.85,6 µM,421.503,,C21H15N3O3S2,,,,AID_1706,,2458897
45,O=C(CSc1nc(C2CCCCC2)nc2ccccc12)NCc1ccco1,,Active,SARS_CoV,3CLpro_cov,18.2,Enzymo,,,,,,,,381.501,,C21H23N3O2S,,,,https://10.1016/j.bmc.2008.01.011,,
46,C[C@H]1COC2=C3N1C=C(C(=O)C3=CC(=C2C4(CC4)N)F)C(=O)O,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,1.24,6 µM,318.304,,C16H15FN2O4,,,,AID_1706,,65957
47,C(C1C(C(C(O1)C2=NNC(=C2O)C(=O)N)O)O)O,pyrazofurin,Active,,,,,,,,,,,,259.218,,C9H13N3O6,,,,ResNet-Elsevier,,135413551
48,CCOC1=CC=C(C=C1)CNC(=O)C2CCN(CC2)S(=O)(=O)C3=CC4=C(C=C3)NC(=O)CCC4,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,485.606,,C25H31N3O5S,,,,AID_652038,,20927887
49,CSC1=NC2=CC(=C(C=C2N1)Cl)OC3=C(C(=CC=C3)Cl)Cl,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,2.55,6 µM,359.665,,C14H9Cl3N2OS,,,,AID_1706,,50248
50,CN1C(=C(C2=CC=CC=C2S1(=O)=O)O)C(=O)NC3=CC=CC=N3,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,-2.33,6 µM,331.353,,C15H13N3O4S,,,,AID_1706,,54676228
51,CN1CC[C@@]23CCCC[C@@H]2[C@@H]1CC4=C3C=C(C=C4)OC,,Inactive,SARS_CoV-2,,,,,,,,,,,271.404,,C18H25NO,,,,AID_1409614,,5360696
52,C1CN(CC2=C1SC=C2)CC3=CC=CC=C3Cl,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,8.35,6 µM,263.793,,C14H14ClNS,,,,AID_1706,,5472
53,O=C(O)c4ccc(/C=C/2C(=O)N(c1ccc(N(=O)=O)cc1)NC2c3ccccc3)cc4,,Active,SARS_CoV,3CLpro_cov,8.4,Enzymo,,,,,,,,415.405,,C23H17N3O5,,,,10.1021/acs.jmedchem.5b01461,137,
54,COC1=CC=CC2=C1CCCC2CCCN3CCN(CC3)C4CCCCC4,,Active,SARS_CoV-2,,0.67764,Viral,,,,,,,,370.581,,C24H38N2O,,,,AID_1409607,,10474335
55,COC1=CC=C(C=C1)CNC(=S)NC2CCCC2,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,264.394,,C14H20N2OS,,,,AID_652038,,891888
56,N1CNC=C1,,Active,SARS_CoV-2,3CLpro_cov-2,,,,,,,,,,70.095,,C3H6N2,,,,5yz6.pdb,,
57,CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC,oseltamivir,Active,,,,,,,,,,,,312.41,,C16H28N2O4,,,,ResNet-Elsevier,,65028
58,C1CN(CCN1CC2=CC=CC=C2)C(=O)CNC(=O)C3=CC=C(C=C3)Br,,Active,SARS_CoV,3CLpro_cov,,,,,,,,12.3,6 µM,416.319,,C20H22BrN3O2,,,,AID_1706,,2420336
59,CN(CC1=C(N=NN1C2=NON=C2N)C(=O)N/N=C/C3=CC(=CC=C3)OC)C4=CC=CC=C4,,Active,SARS_CoV,3CLpro_cov,,,,,,,,12.4,6 µM,447.459,,C21H21N9O3,,,,AID_1706,,9662819
60,CN(CCC1=CC=C(C=C1)NS(=O)(=O)C)CCOC2=CC=C(C=C2)NS(=O)(=O)C,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,-5.76,6 µM,441.575,,C19H27N3O5S2,,,,AID_1706,,71329
61,C1=CC=C(C=C1)C2=CC=C(C=C2)C(=O)CCC(=O)O,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,1.64,6 µM,254.285,,C16H14O3,,,,AID_1706,,3335
62,CC(C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CCC(=O)N(C)C)C(=O)CF,,Active,SARS_CoV,3CLpro_cov,,,,>100,,6.6,,,,423.485,,C21H30FN3O5,,,,10.1021/acs.jmedchem.5b01461,51,
63,C[N+]1=CC=C(C=C1)C(=O)NCC2=CC=CC=C2.[I-],,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,7.77,6 µM,354.191,,C14H15IN2O,,,,AID_1706,,10089466
64,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)N/N=C/C4=C(C=CC(=C4)[N+](=O)[O-])O,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,412.405,,C23H16N4O4,,,,AID_652038,,135497976
65,COC1=CC=C(C=C1)C(=O)N2C3=CC4=C(C=C3N=C2SC)OCCO4,,Active,SARS_CoV,3CLpro_cov,,,,,,,,12.37,6 µM,356.403,,C18H16N2O4S,,,,AID_1706,,1008368
66,N=Cc1[nH]ccn1,,Active,SARS_CoV-2,3CLpro_cov-2,,,,,,,,,,95.105,,C4H5N3,,,,5rhc.pdb,,
67,CCN(CC)C(=O)CN1C=C(C2=CC=CC=C21)/C=C/3\C(=O)NC(=O)N(C3=O)C4=CC=CC=C4F,,Active,SARS_CoV,3CLpro_cov,,,,,,,,16.77,6 µM,462.481,,C25H23FN4O4,,,,AID_1706,,24761221
68,CC1=CC=C(C=C1)C(=O)NC2=NC(=C(O2)C3=CC=CC=C3)C4=CC=CC=C4,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,354.409,,C23H18N2O2,,,,AID_652038,,1386886
69,COC(=O)C1=CC=CC=C1NC(=O)C2=CC3=C(C=C2)OCCCO3,,Active,SARS_CoV,3CLpro_cov,,,,,,,,12.37,6 µM,327.336,,C18H17NO5,,,,AID_1706,,2814665
70,C1=CSC(=C1)/C=C\2/C(=O)N(C(=O)S2)CC(=O)NC3=CC(=C(C=C3)C(=O)O)O,,Active,SARS_CoV,3CLpro_cov,,,,,,,,13.53,6 µM,404.425,,C17H12N2O6S2,,,,AID_1706,,6225958
71,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,,Inactive,SARS_CoV-2,,2.29087,,,,,,,,,302.238,,C15H10O7,,,,AID_1409607,,5280343
72,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,quercetin,Active,,,,,,,,,,,,302.238,,C15H10O7,,,,ResNet-Elsevier,,5475158
73,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,quercetin,Active,,,,,,,,,,,,302.238,,C15H10O7,,,,ResNet-Elsevier,,5475158
74,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,,Inactive,SARS_CoV-2,,2.29087,Viral,,,,,,,,302.238,,C15H10O7,,,,AID_1409607,,5280343
75,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,quercetin,Active,,,,,,,,,,,,302.238,,C15H10O7,,,,ResNet-Elsevier,,5475158
76,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O,quercetin,Active,,,,,,,,,,,,302.238,,C15H10O7,,,,ResNet-Elsevier,,5475158
77,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,GF109203X,Active,,,,,,,,,,,,412.493,,C25H24N4O2,,,,ResNet-Elsevier,,2396
78,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,-2.13,6 µM,369.487,,C17H27N3O4S,,,,AID_1706,,2159
79,CCN1CCCC1CNC(=O)C2=CC(=C(C=C2OC)N)S(=O)(=O)CC,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,-2.15,6 µM,369.487,,C17H27N3O4S,,,,AID_1706,,2159
80,CC1=CC=C(C=C1)C2(CC2CN3CCC(CC3)(C4=CC=CC=C4)O)C(=O)OC,,Inactive,SARS_CoV-2,,21.1349,Viral,,,,,,,,379.5,,C24H29NO3,,,,AID_1409607,,16726095
81,C1CCN(C(C1)CCO)C(=O)CCN2C(=O)/C(=C/C3=CC(=CC=C3)Cl)/SC2=S,,Active,SARS_CoV,3CLpro_cov,,,,,,,,13.88,6 µM,439.002,,C20H23ClN2O3S2,,,,AID_1706,,6236746
82,CC1=C(C2=CC3=NC(=CC4=NC(=CC5=C(C(=C(N5)C=C1N2)C(C)O)C)C(=C4CCC(=O)O)C)C(=C3C)CCC(=O)O)C(C)O,,Active,SARS_CoV-2,,1.85,Viral,,,,,,,,598.700000000001,,C34H38N4O6,,,,AID_1409599,,11103
83,C=CCC(=NOS(=O)(=O)[O-])SC1C(C(C(C(O1)CO)O)O)O.[K+],sinigrin,Active,,,,,,,,,,,,397.468,,C10H16KNO9S2,,,,ResNet-Elsevier,,23682211
84,CC(C)C1=CC(=C(C=C1O)O)C(=O)N2CC3=C(C2)C=C(C=C3)CN4CCN(CC4)C,,Active,SARS_CoV-2,,0.15488,Viral,,,,,,,,409.53,,C24H31N3O3,,,,AID_1409607,,11955716
85,CCOC1=CC2=C(C=C1)N=C(S2)S(=O)(=O)N,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,4.9,6 µM,258.324,,C9H10N2O3S2,,,,AID_1706,,3295
86,Clc5ccc(c3c(n1ccnc1)c(c2ccc(Br)cc2)nn3c4ccc(Cl)c(Cl)c4)cc5,tetrasubstituted pyrazole,Active,SARS_CoV,3CLpro_cov,2.5,Enzymo,,,,,,,,544.667,,C24H14BrCl3N4,,,,10.1021/acs.jmedchem.5b01461,134,
87,CC1CSC2=CC=CC=C2NC1=S,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,209.339,,C10H11NS2,,,,AID_652038,,5080495
88,Cc1ccc(S(=O)(=O)c2nc(C)c([N+](=O)[O-])c(C)c2C#N)cc1,,Active,SARS_CoV,3CLpro_cov,13,Enzymo,,,,,,,,331.353,,C15H13N3O4S,,,,AID_269112,,
89,CCC(C)C1=CC=C(C=C1)N(C(C2=CN=CC=C2)C(=O)NC3CCCC3)C(=O)C4=CC=CO4,,Active,SARS_CoV,3CLpro_cov,,,,,,,,74.92,6 µM,445.563,,C27H31N3O3,,,,AID_1706,,3196508
90,COC(=O)C1=CC=C(C=C1)NC(=O)C2=CC=C(C=C2)NC(=O)C3=CC=CO3,,Active,SARS_CoV,3CLpro_cov,,,,,,,,13.39,6 µM,364.357,,C20H16N2O5,,,,AID_1706,,1295575
91,c1(cccc2c1cccc2)[C@@H](NC(=O)C)C,T4M.pdb,Active,SARS_CoV-2,3CLpro_cov-2,,,,,,,,,,213.28,,C14H15NO,,,,5rew.pdb,,
92,CC1=CC=CC=C1OCC2=NC3=CC=CC=C3C(=O)N2/N=C/C4=C(C(=CC(=C4)C)[N+](=O)[O-])O,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,444.447,,C24H20N4O5,,,,AID_652038,,135498011
93,CC1=CC2=C(C=C1)NC(=S)C=C2C,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,189.283,,C11H11NS,,,,AID_652038,,2772318
94,CC1=CC2=C(C=C1)NC(=O)C(=C2)CN(CCC3=CC=CC=C3)CC4=NN=NN4CC5CCCO5,,Active,SARS_CoV,3CLpro_cov,,,,,,,,57.07,6 µM,458.566,,C26H30N6O2,,,,AID_1706,,645365
95,CC1=NN=C(S1)NS(=O)(=O)C2=CC=C(C=C2)N,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,-2.27,6 µM,270.339,,C9H10N4O2S2,,,,AID_1706,,5328
96,C1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)O,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,-1.86,6 µM,249.269,,C16H11NO2,,,,AID_1706,,8593
97,COC1=CC=CC=C1/C=C\2/C(=O)N(C(=S)S2)CCC(=O)NNC(=O)C3=CC=CC=C3OC,,Active,SARS_CoV,3CLpro_cov,,,,,,,,14.21,6 µM,471.56,,C22H21N3O5S2,,,,AID_1706,,5756577
98,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,3.06,6 µM,252.273,,C15H12N2O2,,,,AID_1706,,34312
99,C1C2=CC=CC=C2N(C3=CC=CC=C3C1=O)C(=O)N,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,2.09,6 µM,252.273,,C15H12N2O2,,,,AID_1706,,34312
100,CC(C)(C1=NC=C(C=C1)C2=CN=C3C(=N2)N(C(=O)CN3)C4CCC(CC4)OC)O,,Active,SARS_CoV-2,,16.78,Viral,,,,,,,,397.479,,C21H27N5O3,,,,AID_1409599,,58298316
101,C1=CC(=CC(=C1)Cl)NC2=NC3=C(C=CC(=C3)C(=O)O)C4=C2C=CN=C4,,Active,SARS_CoV-2,,3.89045,Viral,,,,,,,,349.777,,C19H12ClN3O2,,,,AID_1409607,,24748573
102,CC[C@@H]1[C@@]([C@@H]([C@H](C(=O)[C@@H](C[C@@]([C@@H]([C@H]([C@@H]([C@H](C(=O)O1)C)O[C@H]2C[C@@]([C@H]([C@@H](O2)C)O)(C)OC)C)O[C@H]3[C@@H]([C@H](C[C@H](O3)C)N(C)C)O)(C)O)C)C)O)(C)O,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,1.52,6 µM,733.937,,C37H67NO13,,,,AID_1706,,12560
103,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CC(CCC(C(=O)O)N)N)O)O)N,sinefungin,Active,,,,,,,,,,,,381.393,,C15H23N7O5,,,,ResNet-Elsevier,,65482
104,CC(OC(C)(C)C)[C@H](NC(=O)OCc1ccccc1)C(=O)N[C@@H](CC2CCCCC2)C(=O)N[C@H](C=O)C[C@@H]3CCNC3=O,,Active,SARS_CoV,3CLpro_cov,,,,,0.053,,,,,600.757,,C32H48N4O7,,,,10.1021/acs.jmedchem.5b01461,45,
105,CC1=CC(=C(C=C1)O)[C@H](CCN(C(C)C)C(C)C)C2=CC=CC=C2,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,-4.99,6 µM,325.496,,C22H31NO,,,,AID_1706,,443879
106,CCC(C)(C)NC(=O)C(c1ccn(C)c1)N(C(=O)Cn3nnc2ccccc23)c4ccc(NC(C)=O)cc4,,Active,SARS_CoV,3CLpro_cov,6.2,Enzymo,,,,,,,,515.618,,C28H33N7O3,,,,10.1021/acs.jmedchem.5b01461,157,
107,Cc1ccccc1CCN(Cc3cc2cc(C)c(C)cc2[nH]c3=O)C(=O)NCc4ccccc4,,Active,SARS_CoV,3CLpro_cov,17.2,Enzymo,,,,,,,,453.586,,C29H31N3O2,,,,10.1021/acs.jmedchem.5b01461,183,
108,COC(=O)c2cc1c(O)cc(C(F)(F)F)cc1o2,,Active,SARS_CoV,3CLpro_cov,4.3,Enzymo,,,,,,,,260.167,,C11H7F3O4,,,,10.1021/acs.jmedchem.5b01461,181,
109,C1=CC=C2C(=C1)C(=O)C3=CC=CC=C3N2CC(=O)O,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,-3.02,6 µM,253.257,,C15H11NO3,,,,AID_1706,,38072
110,O=C(Sc1n[nH]c(C(F)(F)F)n1)c1ccc(C#Cc2ccccc2)o1,,Active,SARS_CoV,3CLpro_cov,3,Enzymo,,,,,,,,363.32,,C16H8F3N3O2S,,,,AID_269112,,
111,O=c1[nH]c(=O)n(-c2ccccc2F)c(O)c1/C=C1\C=Nc2ccccc21,,Active,SARS_CoV,3CLpro_cov,9.466,Enzymo,,,,,,,,349.321,,C19H12FN3O3,,,,AID_1890,,135451179
112,CC(C)CN1CN(CNC1=S)CC2=CC=CC=C2,,Active,SARS_CoV,PLpro_cov,,,,,,,,,,263.41,,C14H21N3S,,,,AID_652038,,751586
113,COc1ncccc1-c1ccc(N(Cc2ccsc2)C(=O)Cn2nnc3ccccc32)cc1,,Active,SARS_CoV,3CLpro_cov,0.7,Enzymo,,,,,,,,455.543,,C25H21N5O2S,,,,http://dx.doi.org/10.1016/j.bmcl.2013.08.112,,
114,C1CN(CCC1CC(=O)N2CCC(CC2)[C@@H]3C4=C(CCC5=C3N=CC(=C5)Br)C=C(C=C4Br)Cl)C(=O)N,,Active,SARS_CoV-2,,5.68,Viral,,,,,,,,638.832,,C27H31Br2ClN4O2,,,,AID_1409599,,148195
115,C1=CC(=CC=C1C(=O)N[C@@H](CCC(=O)O)C(=O)O)NCC2=CN=C3C(=N2)C(=O)NC(=N3)N,,Inactive,SARS_CoV,3CLpro_cov,,,,,,,,2.55,6 µM,441.404,,C19H19N7O6,,,,AID_1706,,135398658
