,ID_compound,SMILES,Common Name,Biological Activity,Pathogen,Category,IC50 (µM),IC50(µg/ml),% Inhibition,Tested at [C],Molecular Weight,Formula,Reference,PUBCHEM_CID
32,33,CN1CCc2cc(c3cc2[C@H]1Cc4ccc(c(c4)Oc5ccc(cc5)C[C@H]6c7c(cc(c(c7O3)OC)OC)CCN6C)O)OC,oxyacanthine,Active,Leishmania,Extracellular,0.68 ±0.16,,,,608.74,C37H40N2O6,"10.1021/cr400552x;
   10.1002/ptr.929  ",
33,34,CN1CCc2cc(c3cc2[C@@H]1Cc4ccc(cc4)Oc5cc(ccc5OC)C[C@H]6c7c(cc(c(c7O3)O)OC)CCN6C)OC,fangchinoline,Active,Leishmania,Extracellular,0.39,,,,608.74,C37H40N2O6,"10.1021/cr400552x;
   10.1002/ptr.929  ",
34,35,[H][C@]34Cc1ccc(OC)c(c1)Oc2ccc(cc2)C[C@@]8([H])c6c(cc(OC)c7oc5cc(CCN3C)c4cc5oc67)CCN8C,isotriboline,Active,Leishmania,Extracellular,0.57 ±0.01,,,,576.69,C36H36N2O5,"10.1021/cr400552x;
   10.1002/ptr.929  ",
35,36,[H][C@@]13CC4CCC1([C@H](C)CC2[C@@](C)(CI)C(=O)N(CCOC(C)=O)CC23CC)[C@H](OC(C)=O)C4=C,,Active,Leishmania,Extracellular,33.7,,,,585.52,C27H40INO5,10.1021/cr400552x,
36,37,[H][C@@]13CC4CCC1([C@H](C)CC2[C@@](C)(CI)C(=O)N(CCOC(C)=O)CC23CC)[C@H](OC(C)=O)C4=C,,Active,Leishmania,Extracellular,162.3,,,,585.52,C27H40INO5,10.1021/cr400552x,
37,38,C=C[C@]7(C)[C@@H](OC1OCC(OS)C(O)C1OC2OC(C)C(O)C(O)C2O)CC[C@]8(C)C6=CC(O)C45C(=O)O[C@@](C)(C3CCC(C)(C)O3)[C@@]4(O)CC[C@@]5(C)C6CCC78,azitine,Active,Leishmania,Extracellular,27.9,,,,825.03,C42H64O14S,10.1021/cr400552x,
38,39,C=C[C@]7(C)[C@@H](OC1OCC(OS)C(O)C1OC2OC(C)C(O)C(O)C2O)CC[C@]8(C)C6=CC(O)C45C(=O)O[C@@](C)(C3CCC(C)(C)O3)[C@@]4(O)CC[C@@]5(C)C6CCC78,azitine,Inactive,Leishmania,Extracellular,,,,,825.03,C42H64O14S,10.1021/cr400552x,
39,40,[H][C@@]13CC5CCC1([C@H](C)CC2[C@]4(C)/C=N\CC23CCC4)[C@H](O)C5=C,isoazitine,Active,Leishmania,Extracellular,24.6,,,,313.48,C21H31NO,10.1021/cr400552x,
40,41,[H][C@@]13CC5CCC1([C@H](C)CC2[C@]4(C)/C=N\CC23CCC4)[C@H](O)C5=C,isoazitine,Inactive,Leishmania,Extracellular,,,,,313.48,C21H31NO,10.1021/cr400552x,
41,42,C[N@@+]2(C)[I+]C[C@H](OC(=O)/C=C/c1ccc(O)cc1)C[C@H]2C(=O)[O-],pyrrolidinium derivative,Active,Leishmania,,,9.1,,,432.23,C16H19INO5+,10.1021/cr400552x,
42,43,Cn1c2ccccc2c(=O)c3c1c4c(cc3O)O[C@@H](C4)[C@](CO)(C(=O)OC)O,rhodesiacridone,Active,Leishmania,Intracellular,10,,,,385.37,C20H19NO7,10.1021/cr400552x,
43,44,Cn1c2ccccc2c(=O)c3c1c4c(cc3O)O[C@@H](C4)[C@](CO)(C(=O)OC)O,rhodesiacridone,Inactive,Leishmania,Intracellular,,,,,385.37,C20H19NO7,10.1021/cr400552x,
44,45,CC(CO)(C1Cc2c(cc(c3c2n(c4ccccc4c3=O)C)O)O1)O,gravacridonediol,Active,Leishmania,Intracellular,10,,,,341.36,C19H19NO5,10.1021/cr400552x,
45,46,CC(CO)(C1Cc2c(cc(c3c2n(c4ccccc4c3=O)C)O)O1)O,gravacridonediol,Active,Leishmania,Intracellular,1,,,,341.36,C19H19NO5,10.1021/cr400552x,
46,47,Cn1c2ccccc2c(=O)c3c1c(c(c(c3O)OC)OC)OC,normelicopicine,Active,Leishmania,Extracellular,,1.08,,,315.32,C17H17NO5,10.1021/cr400552x,
47,48,Cn1c2ccccc2c(=O)c3c1cc(c(c3O)OC)OC,arborinine,Active,Leishmania,Extracellular,,5.2,,,285.3,C16H15NO4,10.1021/cr400552x,
48,49,c1ccc2c(c1)c3ccnc4c3n2c(=O)cc4," 
",Active,Leishmania,Axenic,,,,,220.23,C14H8N2O,10.1021/cr400552x,
49,50,COc1cc2c3c(ccn2)c4ccccc4n3c1=O,,Active,Leishmania,Axenic,,,,,250.26,C15H10N2O2,10.1021/cr400552x,
50,51,c1ccc2c(c1)c3c([nH]2)[C@]45C[C@@H]6[C@H]([C@H](O4)CN5CC3)[C@H](OC=C6C(=O)O)OC7[C@H]([C@@H]([C@H]([C@@H](O7)CO)O)O)O,cadambine acid,Active,Leishmania,Intracellular,1.2,,,,530.53,C26H30N2O10,10.1021/cr400552x,
51,52,c1ccc2c(c1)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC/C=C\[C@H]8C7)O,manzamine A,Active,Leishmania,Extracellular,1.64,0.9,,,548.78,C36H44N4O,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",
52,53,c1cc2c3ccnc(c3[nH]c2c(c1)O)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC/C=C\[C@H]8C7)O,8-hydroxymanzamine A,Active,Leishmania,Extracellular,10.97,,,,564.77,C36H44N4O2,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",
53,54,c1ccc2c(c1)c3cc[n+](c(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC/C=C\[C@H]8C7)O)[O-],"manzamine A N-oxide 
",Active,Leishmania,Extracellular,1.94,1.1,,,564.77,C36H44N4O2,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",
54,55,c1ccc2c(c1)c3cc[nH+]c(c3[nH]2)C4=C[C@]5(CC/C=C\CCCC[NH+]6CC[C@H]4[C@]7(C6)[C@H]5N8CCCC(=O)CC[C@H]8C7)O,manzamine E,Active,Leishmania,Extracellular,,6.72,,,566.79,C36H46N4O2+2,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",
55,56,c1cc2c(cc1O)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC(=O)CC[C@H]8C7)O,6-hydroxymanzamine E,Active,Leishmania,Extracellular,4.3,,,,580.77,C36H44N4O3,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",
56,57,c1cc2c3ccnc(c3[nH]c2c(c1)O)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC(=O)CC[C@H]8C7)O,manzamine F,Active,Leishmania,Extracellular,7.23,,,,580.77,C36H44N4O3,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",
57,58,c1ccc2c(c1)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5NCCCC/C=C\CC7)O,manzamine J,Active,Leishmania,Extracellular,45.39,,,,550.79,C36H46N4O,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",
58,59,O[C@@]13/C=C(/CO)[C@H]5CCN(CCCC\C=C/CC1)C[C@@]45C[C@H]2/C=C\CCCCN2[C@H]34,ircinol A,Active,Leishmania,Extracellular,2.18,0.9,,,412.62,C26H40N2O2,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",
59,60,C1CCN2CC[C@H]3C(=C[C@@](CC/C=C\C1)([C@H]4[C@]3(C2)C[C@H]/5N4CCCC/C=C5)O)C=O,"ircinal A 
",Active,Leishmania,Extracellular,[0.9-6.2],,,,410.6,C26H38N2O2,10.1021/cr400552x,
60,61,c1cc2c(cc1O)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCC[C@@H]9CC[C@@]8(C7)O9)O,manzamine X,Active,Leishmania,Extracellular,,[0.9-6.2],,,580.77,C36H44N4O3,10.1021/cr400552x,
61,62,c1ccc2c(c1)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCC[C@@H]9CC[C@@]8(C7)O9)O,6-deoxymanzamine X,Active,Leishmania,Extracellular,,[0.9-6.2],,,564.77,C36H44N4O2,10.1021/cr400552x,
62,63,C1CCN2CC[C@H]3C(=C[C@@](CC/C=C\C1)([C@H]4[C@]3(C2)C[C@H]/5N4CCCC/C=C5)O)C6=NC=CC7=C6NC8=C7C=C(C=C8)O,manzamine Y,Active,Leishmania,Extracellular,,1.6,,,564.77,C36H44N4O2,10.1021/cr400552x,
63,64,[H][C@]/7(CC[C@]1([H])NCCc2c1[nH]c3ccccc23)C[C@@]6([H])c5[nH]c4ccc(C(C)=O)cc4c5CCN6CC7=C\C,ramiflorine A,Active,Leishmania,Extracellular,,,,,492.67,C32H36N4O,10.1021/cr400552x,
64,65,Cc3c1ccccc1nc4c(=O)c2ccccc2c(=O)c34,,Active,Leishmania,Extracellular,,0.78,,,273.29,C18H11NO2,"10.1021/cr400552x;
10.1055/s-2003-40640 
    ",
65,66,CN(C)/C=C/c3c1ccccc1nc4c(=O)c2ccccc2c(=O)c34,,Active,Leishmania,Extracellular,,1.7,,,328.37,C21H16N2O2,"10.1021/cr400552x;
    10.1055/s-2003-40640",
66,67,CN(C)CCc3c1ccccc1nc4c(=O)c2ccccc2c(=O)c34,,Active,Leishmania,Extracellular,,1.9,,,330.39,C21H18N2O2,"10.1021/cr400552x
    10.1055/s-2003-40640",
67,68,CCSc2cc(=O)c4nc1ccccc1c3ccnc2c34,,Active,Leishmania,Extracellular,,3.4,,,292.36,C17H12N2OS,"10.1021/cr400552x
    10.1055/s-2003-40640",
68,69,Cc5ccc(Sc2cc(=O)c4nc1ccccc1c3ccnc2c34)cc5,,Active,Leishmania,Extracellular,,5.4,,,354.43,C22H14N2OS,"10.1021/cr400552x
    10.1055/s-2003-40640",
69,70,Nc2cc(=O)c4nc1ccccc1c3ccnc2c34,,Active,Leishmania,Extracellular,,5.7,,,247.26,C15H9N3O,"10.1021/cr400552x
    10.1055/s-2003-40640",
70,71,O=c3c1ccccc1c5nccc4c2ccccc2nc3c45,,Active,Leishmania,Extracellular,,6.8,,,282.3,C19H10N2O,"10.1021/cr400552x
    10.1055/s-2003-40640",
71,72,O=c3c1cccnc1c5nccc4c2ccccc2nc3c45,,Active,Leishmania,Extracellular,,8.7,,,283.29,C18H9N3O,"10.1021/cr400552x
    10.1055/s-2003-40640",
72,73,CCCCCCCCC[C@@H]1C[C@@H]2CC[C@@H]3N2C(=N1)N[C@@H]([C@@H]3C(=O)O[C@H](C)CCCCCCC[C@@H]4C[C@@H]5CC[C@H]6N5C(=N4)N[C@H](C6)C)C,"batzelladine L
",Active,Leishmania,Extracellular,,1.9,,,653.01,C39H68N6O2,10.1021/cr400552x,
73,74,CCCCCCC[C@@H]1C[C@@H]2CCC3=C(C(N=C(N23)N1)C)C(=O)OCCCCCCC[C@@H]4C[C@@H]5CC[C@H]6N5C(=N4)N[C@H](C6)C,batzelladine M,Active,Leishmania,Extracellular,,8.5,,,594.89,C35H58N6O2,10.1021/cr400552x,
74,75,[H][C@@H]5CCC[C@@]2(N/C3=N/[C@]1(CC/C=C\[C@H](CC)O1)C[C@]4([H])CC[C@]([H])([C@@H]2C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)C[C@@H](C)CCN)N34)O5,ptilomycalin A,Active,Leishmania,Extracellular,,5.9,,,785.17,C45H80N6O5,10.1021/cr400552x,
75,76,[H][C@]34CC[C@]5([H])[C@H](C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)C[C@@H](C)CCN)[C@]1(CCC[C@@H](O)O1)N/C(=N/[C@]2(CC/C=C\[C@H](CC)O2)C3)N45,crambescidine,Active,Leishmania,Extracellular,,6.8,,,801.17,C45H80N6O6,10.1021/cr400552x,
76,77,CCCCCCCC[C@H]1C[C@]3(C)CC/C2=C(C(=O)OCCCCNC(=N)N)/C(CCCCC)/N=C(N1)\N23,batzelladine C,Active,Leishmania,Extracellular,,5.5,,,516.78,C29H52N6O2,10.1021/cr400552x,
77,78,CCCCCCCC[C@H]1C[C@]3(C)CCc2c(C(=O)OCCCCNC(=N)N)c(CCCCC)nc(=N1)n23,dehydrobatzelladine C,Active,Leishmania,Extracellular,,5.7,,,514.76,C29H50N6O2,10.1021/cr400552x,
78,79,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])(O)[C@@H](NC(=O)/C=C/C)[C@@]([H])(O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,,Active,Leishmania,Extracellular,,52.74,,,460.7,C28H48N2O3,"10.1021/cr400552x;
    10.1080/14786410701192736",
79,80,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])(OC(C)=O)[C@@H](NC(=O)/C=C/C)[C@]([H])(O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,,Active,Leishmania,Extracellular,,0.2,,,502.74,C30H50N2O4,"10.1021/cr400552x;
    10.1080/14786410701192736",
80,81,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])([H])[C@@H](NC(=O)/C=C/C)[C@@]([H])(OC(C)=O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,,Active,Leishmania,Extracellular,,3.78,,,486.74,C30H50N2O3,"10.1021/cr400552x;
    10.1080/14786410701192736

",
81,82,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C=O)[C@@]1(C)CC[C@@]23[H])[C@]([H])([H])[C@H]4NCC(=O)/C=C(C)/C(C)C,,Active,Leishmania,Extracellular,,6.49,,,498.8,C32H54N2O2,"10.1021/cr400552x;
    10.1080/14786410701192736",
82,83,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])([H])[C@@H](NC(=O)/C=C/C)[C@@]([H])(OC(C)=O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,,Active,Leishmania,Extracellular,,3.36,,,486.74,C30H50N2O3,"10.1021/cr400552x;
    10.1080/14786410701192736",
83,84,[H][C@H]4C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CCC([C@]([H])(C)NC)C1(C)CC[C@@]23[H])[C@@]([H])(O)[C@H]4NC(=O)/C(C)=C/C,,Active,Leishmania,Extracellular,,2.29,,,430.68,C27H46N2O2,"10.1021/cr400552x;
    10.1080/14786410701192736",
84,85,[H][C@H]4C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)NC)[C@@]1(C)CC[C@@]23[H])[C@@]([H])(O)[C@H]4NC(=O)/C(C)=C/C,,Active,Leishmania,Extracellular,,3.27,,,444.7,C28H48N2O2,"10.1021/cr400552x;
    10.1080/14786410701192736",
85,86,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@@]([H])([H])[C@H]4NC,,Active,Leishmania,Extracellular,,2,,,374.66,C25H46N2,"10.1021/cr400552x;
    10.1080/14786410701192736",
86,87,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@]([H])(O)[C@H]4O,,Active,Leishmania,Extracellular,,55.33,,,377.61,C24H43NO2,"10.1021/cr400552x;
    10.1080/14786410701192736",
87,88,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@@]([H])([H])[C@H]4N,,Active,Leishmania,Extracellular,,3.41,,,360.63,C24H44N2,"10.1021/cr400552x,
    10.1080/14786410701192736",
88,89,[H]C1([H])C[C@@]2(C)[C@@]([H])(CC[C@@]3([H])[C@]4([H])CCC(CC([H])(C)N(C)C)[C@@]4(C)CC[C@]23[H])C([H])([H])[C@H]1N(C)C,,Active,Leishmania,Extracellular,,13,,,388.68,C26H48N2,"10.1021/cr400552x;
    10.1080/14786410701192736",
89,90,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@@]([H])([H])[C@H]4NC,,Active,Leishmania,Extracellular,,3.44,,,374.66,C25H46N2,"10.1021/cr400552x;
    10.1080/14786410701192736",
90,91,[H]\C(C(=O)N[C@H]1C([H])([H])C[C@@]2(C)[C@@]([H])(CC[C@@]3([H])[C@]4([H])CC[C@H]([C@]([H])(C)N(C)C)[C@@]4(C)CC[C@]23[H])C1([H])[H])=C(\C)C(C)C,,Active,Leishmania,Extracellular,,0.46,,,456.76,C30H52N2O,"10.1021/cr400552x;
    10.1080/14786410701192736",
91,92,[H][C@H]4C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@@H](O)[C@H]4NC(=O)/C(C)=C/C,,Active,Leishmania,Extracellular,,3.41,,,458.73,C29H50N2O2,"10.1021/cr400552x;
    10.1080/14786410701192736",
92,93,[H][C@H]4C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@@H](O)[C@H]4NC(=O)/C(C)=C/C,,Active,Leishmania,Extracellular,,1.28,,,458.73,C29H50N2O2,"10.1021/cr400552x;
    10.1080/14786410701192736",
93,94,C[C@@H](C1=CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H]([C@@H]4O)NC(=O)C=C(C)C)C)C)[NH+](C)C,hookerianamide J,Active,Leishmania,Extracellular,11.3,,,,443.7,C28H47N2O2+,"10.1021/cr400552x

",
94,95,C[C@@H]([C@H]1CC=C2[C@@]1(CC[C@H]3[C@H]2CCC4=C[C@H](CC[C@]34C)[NH+](C)C)C)[NH+](C)C,hookerianamide K,Active,Leishmania,Extracellular,6.8,,,,372.64,C25H44N2+2,"10.1021/cr400552x

",
95,96,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC=C(C4=O)NC=O)C)C)[NH+](C)C,hookerianamide H,Active,Leishmania,Extracellular,22.4,,,,387.59,C24H39N2O2+,10.1021/cr400552x,
96,97,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)N(C)C(=O)c5ccccc5)C)C)[NH2+]C,hookerianamide I,Active,Leishmania,Extracellular,8.8,,,,451.72,C30H47N2O+,10.1021/cr400552x,
97,98,C[C@@H]([C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2CC[C@@H]4[C@@]3(CC[C@@H](C4)N)C)C)N(C)C,chonemorphine,Active,Leishmania,Extracellular,,[0.7-9.3],,,346.6,C23H42N2,10.1021/cr400552x,
