,Unnamed: 0,IDcmpd,ID_zinc,ID_chemspider,smiles,chemical_name,common_name,formula,weight,origin,nature,family,sub_family,hydrophobicity_index,active_moeity,other_activities,active_or_inactive,refs,AUC_0t,AUC_tinf,Rareas,Kd,Ke,Kd_hld,Ke_hlt,MRT,Vd,Cl,Tmax,Cpmax,pk_method,PPD,PPD_method,internal_standard,effect_types,animal_models,animal_weights,administration_routes,Dose,ID_test_type,taxid_path,strains,active_inactivec,IC50micromol,IC50microgML,MEC,IC90,MIC,IC_totallysis,IC_pourc,pourcentage,ICpourc_positive,pourcentage_positive,EC50,LD50,ED50,GI50,survival_index,IC_surv,cell_type,host_cell,animal_model,nbr_animal,animal_weight,age,experimental_model,dose,administration_route,treatment_periode,evaluation_method,studied_parameters,positive_control,selectivity_index,IC50_positive,IC90_positivec,LD50_positive,EC50_positive,ED50_positive,negative_control,IC50_negative,leishmanicide_activitie,cytotoxicity_degree,result,positive_result,effect_type
10,10,7,,,COc3cc2c(=O)c5nccc4cc1OCOc1c(c2cc3OC)c45,,dicentrinona,C19H13NO5,335.3150000000001,Duguetia furfuracea (Annonaceae),natural,alkaloid,isoquinoline alkaloid,,,,,10.1016/j.phymed.2009.03.019;10.1021/cr400552x; 10.1021/cr400552x,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,lbraz,MHOM/BR175/M2904,,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphotericin B,,22 micromol,,,,,,,,,,,
11,11,8,,,COc4ccc3CC2c1cc(OC)c(OC)cc1C=C[NH+]2Cc3c4OC,,N-methylte-trahydropalmatine,C21H24NO4+,354.4260000000001,Duguetia furfuracea (Annonaceae),natural,alkaloid,isoquinoline alkaloid,,,,,10.1016/j.phymed.2009.03.019;10.1021/cr400552x; 10.1021/cr400552x,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,lbraz,MHOM/BR175/M2904,,17.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphotericin B,,22 micromol,,,,,,,,,,,
12,12,9,,,COC1=CC2=C(CC1OC)c4c(OC)c(OC)cc3CC[N+](C)(C)C(C2)c34,,N-methylglaucine,C22H30NO4+,372.4850000000002,Duguetia furfuracea (Annonaceae),natural, alkaloid,isoquinoline alkaloid,,,,,10.1016/j.phymed.2009.03.019;10.1021/cr400552x; 10.1021/cr400552x,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,lbraz,MHOM/BR175/M2904,,4.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphotericin B,22,,,,,,,,,,,,
13,13,10,,,COc1ccc3c(c1)cc5NCCc4cc2OCOc2c3c45,,"Xylopine  
",C18H17NO3,295.3325,Guatteria amplifolia,natural,alkaloid,isoquinoline alkaloid,,1.2-metylenedioxy fraction,,,;10.1021/cr400552x; 10.1055/s-2003-41126,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,lmexc,MOHM/B2/82/BGLZ,,3 ±0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphotericin B,,0.1 ±0.004 micromol,,,,,,,,,,,
14,14,10,,,COc1ccc3c(c1)cc5NCCc4cc2OCOc2c3c45,,"Xylopine  
",C18H17NO3,295.3325,Guatteria amplifolia,natural,alkaloid,isoquinoline alkaloid,,1.2-metylenedioxy fraction,,,;10.1021/cr400552x; 10.1055/s-2003-41126,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,lpana,MOHM/PA/71/LS91,,6 ±0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,, amphotericin B,,0.1 ±0.004 micromol,,,,,,,,,,,
15,15,10,,,COc1ccc3c(c1)cc5NCCc4cc2OCOc2c3c45,,"Xylopine  
",C18H17NO3,295.3325,Guatteria amplifolia,natural,alkaloid,isoquinoline alkaloid,,1.2-metylenedioxy fraction,,,;10.1021/cr400552x; 10.1055/s-2003-41126,,,,,,,,,,0.000,,,,,,,,,,,,Hostcell,lmexc,,,112 ±0.2,,,,,,,,,,,,,,,,macrophages,,,,,,,,,,,,amphotericin B,37.3,,,,,,,,,,,,
16,16,11,,37569,COc1cc2c3c(c1OC)-c4ccccc4C[C@@H]3NCC2,"(6aS)-1,2-Dimethoxy-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline",nornuciferine,C18H19NO2,281.349,Guatteria amplifolia,natural, alkaloid,isoquinoline alkaloid,,,,active,10.1021/cr400552x; 10.1055/s-2003-41126,,,,,,,,,,,,,,,,,,,,,,Extracellular,lmexc,MOHM/B2/82/BGLZ,,14 ±1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphotericin B,,0.1 ±0.004 micromol,,,,,,,,,,,
17,17,11,,37569,COc1cc2c3c(c1OC)-c4ccccc4C[C@@H]3NCC2,"(6aS)-1,2-Dimethoxy-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline",nornuciferine,C18H19NO2,281.349,Guatteria amplifolia,natural, alkaloid,isoquinoline alkaloid,,,,active,10.1021/cr400552x; 10.1055/s-2003-41126,,,,,,,,,,,,,,,,,,,,,,Extracellular,lpana,MOHM/PA/71/LS91,,28 ±11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphotericin B,,0.1 ±0.004 micromol,,,,,,,,,,,
18,18,11,,37569,COc1cc2c3c(c1OC)-c4ccccc4C[C@@H]3NCC2,"(6aS)-1,2-Dimethoxy-5,6,6a,7-tetrahydro-4H-dibenzo[de,g]quinoline",nornuciferine,C18H19NO2,281.349,Guatteria amplifolia,natural, alkaloid,isoquinoline alkaloid,,,,active,10.1021/cr400552x; 10.1055/s-2003-41126,,,,,,,,,,,,,,,,,,,,,,Hostcell,lmexc,,,> 40,,,,,,,,,,,,,,,,macrophages,,,,,,,,,,,, amphotericin B,ND,,,,,,,,,,,,
19,19,12,,2341325,COc1cc2c3c(c1OC)-c4cc5c(cc4CC3NCC2)OCO5,"1,2-Dimethoxy-5,6,6a,7-tetrahydro-4H-benzo[de][1,3]benzodioxolo[5,6-g]quinoline","nornantenine
",C19H19NO4,325.358,Guatteria dumetorum,natural,alkaloid,isoquinoline alkaloid,,methylenedioxy moiety,,,10.1021/cr400552x;10.1055/s-2003-41126,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,lmexc,MOHM/B2/82/BGLZ,,24 ±0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,, amphotericin B,,0.1 ±0.004 micromol,,,,,,,,,,,
20,20,12,,2341325,COc1cc2c3c(c1OC)-c4cc5c(cc4CC3NCC2)OCO5,"1,2-Dimethoxy-5,6,6a,7-tetrahydro-4H-benzo[de][1,3]benzodioxolo[5,6-g]quinoline","nornantenine
",C19H19NO4,325.358,Guatteria dumetorum,natural,alkaloid,isoquinoline alkaloid,,methylenedioxy moiety,,,10.1021/cr400552x;10.1055/s-2003-41126,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,lpana,MOHM/PA/71/LS91,,15 ±0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,amphotericin B,,0.1 ±0.004 micromol,,,,,,,,,,,
21,21,12,,2341325,COc1cc2c3c(c1OC)-c4cc5c(cc4CC3NCC2)OCO5,"1,2-Dimethoxy-5,6,6a,7-tetrahydro-4H-benzo[de][1,3]benzodioxolo[5,6-g]quinoline","nornantenine
",C19H19NO4,325.358,Guatteria dumetorum,natural,alkaloid,isoquinoline alkaloid,,methylenedioxy moiety,,,10.1021/cr400552x;10.1055/s-2003-41126,,,,,,,,,,0.000,,,,,,,,,,,,Hostcell,lmexc,,,> 40,,,,,,,,,,,,,,,,macrophages,,,,,,,,,,,,amphotericin B,ND,,,,,,,,,,,,
22,22,13,,,COc4cc(OC)c3c[n+]2CCc1cc(O)c(OC)cc1c2cc3c4 ,"3-hydroxy-2,9,11-trimethoxy-5,6-dihydroisoquino-[3,2a]isoquinolinylium ",,C20H20NO4,338.38300000000004,stem bark of Tinospora sinensis,natural,alkaloid,isoquinoline alkaloid,,,,,10.1021/cr400552x; 10.1080/14786410802682239,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,ldono,,,,,,,,,100 micromol,96.6,,,,,,,,,,,,,,,,,,,flow cytometry (FACS) ,,Miltefosine,,,,,,,,,,,,,
23,23,13,,,COc4cc(OC)c3c[n+]2CCc1cc(O)c(OC)cc1c2cc3c4 ,"3-hydroxy-2,9,11-trimethoxy-5,6-dihydroisoquino-[3,2a]isoquinolinylium ",,C20H20NO4,338.38300000000004,stem bark of Tinospora sinensis,natural,alkaloid,isoquinoline alkaloid,,,,,10.1021/cr400552x; 10.1080/14786410802682239,,,,,,,,,,0.000,,,,,,,,,,,,Intarcellular,ldono,,,,,,,,,100 microgML,86.6%,,,,,,,,,,,,,,,,,,,flow cytometry (FACS) ,,Miltefosine,,,,,,,,,,,,,
24,24,14,,,COc4cc3C[C@H](C)[N+](c1ccc(OC)c2c(OC)cc(C)cc12)=C(C)c3c(OC)c4 ,,"ancistrocladinium A 
",C26H30NO4+,420.5290000000002,Ancistrocladus ealaensis (Ancistrocladaceae),natural,alkaloid,naphthylisoquinoline alkaloid,,hetero biaryl axis,,,10.1021/cr400552x; 10.1128/AAC.00936-06,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,lmaj,,,4.90 ±2.93,2.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,25,14,,,COc4cc3C[C@H](C)[N+](c1ccc(OC)c2c(OC)cc(C)cc12)=C(C)c3c(OC)c4 ,,"ancistrocladinium A 
",C26H30NO4+,420.5290000000002,Ancistrocladus ealaensis (Ancistrocladaceae),natural,alkaloid,naphthylisoquinoline alkaloid,,hetero biaryl axis,,,10.1021/cr400552x; 10.1128/AAC.00936-06,,,,,,,,,,0.000,,,,,,,,,,,,Hostcell,lmaj,,,31.76 ±4.75,,,,,,,,,,,,,,,,J774.1 macrophages,,,,,,,,,,,,,6.48,,,,,,,,,,,,
26,26,15,,13115467,COc4cc3C[C@H](C)[N+](Cc2ccc1cc(C)cc(OC)c1c2O)=C(C)c3c(OC)c4],"(3S)-2-(1-Hydroxy-8-methoxy-6-methyl-2-naphthyl)-6,8-dimethoxy-1,3-dimethyl-3,4-dihydroisoquinolinium trifluoroacetate",ancistrocladinium B,C27H28F3NO6,519.51,Ancistrocladaceae,natural,alkaloid,naphthylisoquinoline alkaloid,,a hetero biaryl axis,,,10.1021/cr400552x; 10.1128/AAC.00936-06,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,lmaj,,,1.24 ±0.15,1.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,27,15,,13115467,COc4cc3C[C@H](C)[N+](Cc2ccc1cc(C)cc(OC)c1c2O)=C(C)c3c(OC)c4],"(3S)-2-(1-Hydroxy-8-methoxy-6-methyl-2-naphthyl)-6,8-dimethoxy-1,3-dimethyl-3,4-dihydroisoquinolinium trifluoroacetate",ancistrocladinium B,C27H28F3NO6,519.51,Ancistrocladaceae,natural,alkaloid,naphthylisoquinoline alkaloid,,a hetero biaryl axis,,,10.1021/cr400552x; 10.1128/AAC.00936-06,,,,,,,,,,0.000,,,,,,,,,,,,Hostcell,lmaj,,,11.21 ±2.09,,,,,,,,,,,,,,,,J774.1 macrophages,,,,,,,,,,,,,9.04,,,,,,,,,,,,
28,28,16,,168251,COc2cc1C[C@H](C)N=C(C)c1c(OC)c2c4c(C)cc3cccc(OC)c3c4O ,"2-[(3S)-6,8-Dimethoxy-1,3-dimethyl-3,4-dihydro-7-isoquinolinyl]-8-methoxy-3-methyl-1-naphthol",ancistrocladidine,C25H27NO4,405.486,Ancistrocladus tanzaniensis (Ancistrocladaceae),natural,alkaloid,naphthylisoquinoline alkaloid,,,,,10.1021/cr400552x,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,ldono,,,,2.9,,,,,,,,,,,,,,,,,,,,,,,,,,,miltofosin,,,,,,,,,,,,,
29,29,17,13359134.0,8177747,COc3cc(OC)c(c1ccc(OC)c2c(OC)cc(C)cc12)c4C[C@H](C)N=C(C)c34 ,"(3S)-5-(4,5-Dimethoxy-7-methyl-1-naphthyl)-6,8-dimethoxy-1,3-dimethyl-3,4-dihydroisoquinoline",ancistrotanzanine B,C26H29NO4,419.5128,,natural,Alkaloid,Naphthylisoquinoline Alkaloid,,,,,10.1021/cr400552x; ,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,ldono,,,3.81,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,miltofosine,,,,,,,,,,,,,
30,30,18,,,COc3cc(OC)c(c2c(C)cc1cccc(OC)c1c2O)c4C[C@H](C)N=C(C)c34,,ancistrotanazanine A,C25H27NO4,405.4940000000002,Ancistrocladus tanzaniensis (Ancistrocladaceae),natural, alkaloid,naphthylisoquinoline alkaloid,,,,,10.1021/cr400552x,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,ldono,,,,1.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,31,19,15150988.0,8632754,[H][C@]3(CC)CN2CCc1cc(O)c(OC)cc1[C@]2([H])C[C@]3([H])C[C@@]5(O)NCCc4cc(O)c(OC)cc45,"7',11-Dimethoxyemetan-1',6',10-triol",klugine,C27H36N2O5,468.585,Psychotria klugii,natural,alkaloid,benzoquinolizidine alkaloid,,,,,10.1021/cr400552x,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,ldono,,,,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,amphotericin B,,,,,,,,,,,,,
32,32,20,3871988.0,390702,[H][C@]3(CC)CN2CCc1cc(OC)c(OC)cc1[C@]2([H])C[C@]3([H])CC5NCCc4cc(O)c(OC)cc45,"7',10,11-Trimethoxyemetan-6'-ol",cephaeline,C28H38N2O4,466.612,Psychotria klugii,natural,alkaloid,benzoquinolizidine alkaloid,,,,,10.1021/cr400552x,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,ldono,,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,amphotericin B,,,,,,,,,,,,,
33,33,21,,377264,CN1CCc2cc(c3cc2C1Cc4ccc(c(c4)-c5cc(ccc5O)CC6c7c(cc(c(c7O3)OC)OC)CCN6C)OC)OC,"6,20,21,25-Tetramethoxy-15,30-dimethyl-23-oxa-15,30-diazaheptacyclo[22.6.2.1~3,7~.1~8,12~.1~14,18~.0~22,33~.0~27,31~]pentatriaconta-3(35),4,6,8(34),9,11,18(33),19,21,24,26,31-dodecaen-9-ol","funiferine 
",C38H42N2O6,622.7620000000001,Triclisia patens,natural,alkaloid,benzoquinolizidine alkaloid,,,,,10.1021/cr400552x; 10.1002/ptr.929 ,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,ldono,,,0.53 ±0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,pentamidine,,0.40,,,,,,,,,,,
34,34,22,,,[H][C@@]46Cc1ccc(OC)c(c1)c2cc(ccc2O)C[C@@]7([H])c3c(cc(OC)c(O)c3Oc5cc4c(cc5OC)CCN6C)CCN7C,,tiliageine,C37H40N2O6,608.735,Triclisia patens,natural,alkaloid,benzoquinolizidine alkaloid,,,,,10.1021/cr400552x; 10.1002/ptr.929 ,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,ldono,,,0.79 ±0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,pentamidine,,0.40,,,,,,,,,,,
35,35,23,,390787,CN1CCc2cc(c3cc2[C@H]1Cc4ccc(c(c4)Oc5ccc(cc5)C[C@H]6c7c(cc(c(c7O3)OC)OC)CCN6C)O)OC,"6,6',7-Trimethoxy-2,2'-dimethyloxyacanthan-12'-ol",oxyacanthine,C37H40N2O6,608.723,Triclisia patens,natural,alkaloid,benzoquinolizidine alkaloid,,,,,10.1021/cr400552x; 10.1002/ptr.929 ,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,ldono,,,0.68 ±0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,pentamidine,,0.40,,,,,,,,,,,
36,36,24,,66173,CN1CCc2cc(c3cc2[C@@H]1Cc4ccc(cc4)Oc5cc(ccc5OC)C[C@H]6c7c(cc(c(c7O3)O)OC)CCN6C)OC,"(1beta)-6,6',12-Trimethoxy-2,2'-dimethylberbaman-7-ol",fangchinoline,C37H40N2O6,608.723,Triclisia patens,natural,alkaloid,benzoquinolizidine alkaloid,,,,,10.1021/cr400552x; 10.1002/ptr.929 ,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,ldono,,,0.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,pentamidine,,0.40,,,,,,,,,,,
37,37,25,,,[H][C@]34Cc1ccc(OC)c(c1)Oc2ccc(cc2)C[C@@]8([H])c6c(cc(OC)c7oc5cc(CCN3C)c4cc5oc67)CCN8C,,isotriboline,C36H36N2O5,576.6930000000002,Psychotria klugii,natural,alkaloid,benzoquinolizidine alkaloid,,,,,10.1021/cr400552x; 10.1002/ptr.929 ,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,ldono,,,0.57 ±0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,pentamidine,,0.40,,,,,,,,,,,
38,38,26,,,[H][C@@]13CC4CCC1([C@H](C)CC2[C@@](C)(CI)C(=O)N(CCOC(C)=O)CC23CC)[C@H](OC(C)=O)C4=C,"15,22-O-diacetyl-19-oxo-dihydroatisine",,C27H40INO5,585.5230000000003,Aconitum sp,natural,alkaloid,diterpene alkaloid,,,,,10.1021/cr400552x,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,linf,UCM10 (zimodeme MON1),,33.7,,,,,,,,,,,,,,,,,,,,,,,,,72h,,,pentamidine isethionate,,,,,,,,,,,,,
39,39,26,,,[H][C@@]13CC4CCC1([C@H](C)CC2[C@@](C)(CI)C(=O)N(CCOC(C)=O)CC23CC)[C@H](OC(C)=O)C4=C,"15,22-O-diacetyl-19-oxo-dihydroatisine",,C27H40INO5,585.5230000000003,Aconitum sp,natural,alkaloid,diterpene alkaloid,,,,,10.1021/cr400552x,,,,,,,,,,0.000,,,,,,,,,,,,Hostcell,linf,,,162.3,,,,,,,,,,,,,,,,Macrophage line J774A.1 (ECACC number 91051511),,,,,,,,,,,,,,,,,,,,,,not show toxicity,,,
40,40,27,,10218698,C=C[C@]7(C)[C@@H](OC1OCC(OS)C(O)C1OC2OC(C)C(O)C(O)C2O)CC[C@]8(C)C6=CC(O)C45C(=O)O[C@@](C)(C3CCC(C)(C)O3)[C@@]4(O)CC[C@@]5(C)C6CCC78 ,"(15beta)-4-Methylatida-16,20-dien-15-ol",azitine,C20H29NO,299.45,Aconitum sp,natural,alkaloid,diterpene alkaloid,,,,,10.1021/cr400552x,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,linf, UCM10 (zimodeme MON1),,27.9,,,,,,,,,,,,,,,,,,,,,,,,,72h,,,pentamidine isethionate,,,,,,,,,,,,,
41,41,27,,10218698,C=C[C@]7(C)[C@@H](OC1OCC(OS)C(O)C1OC2OC(C)C(O)C(O)C2O)CC[C@]8(C)C6=CC(O)C45C(=O)O[C@@](C)(C3CCC(C)(C)O3)[C@@]4(O)CC[C@@]5(C)C6CCC78 ,"(15beta)-4-Methylatida-16,20-dien-15-ol",azitine,C20H29NO,299.45,Aconitum sp,natural,alkaloid,diterpene alkaloid,,,,,10.1021/cr400552x,,,,,,,,,,0.000,,,,,,,,,,,,Hostcell,linf,,,,,,,,,>200 mg/L,50%,,,,,,,,,Macrophage line J774A.1 (ECACC number 91051511),,,,,,,,,,,,,,,,,,,,,,not show toxicity,,,
42,42,28,,,[H][C@@]13CC5CCC1([C@H](C)CC2[C@]4(C)/C=N\CC23CCC4)[C@H](O)C5=C,,isoazitine,C21H31NO,313.48500000000007,Aconitum sp,natural,alkaloid,diterpene alkaloid,,,,,10.1021/cr400552x,,,,,,,,,,0.000,,,,,,,,,,,,Extracellular,linf, UCM10 (zimodeme MON1),,24.6,,,,,,,,,,,,,,,,,,,,,,,,,72h,,,pentamidine isethionate,,,,,,,,,,,,,
43,43,28,,,[H][C@@]13CC5CCC1([C@H](C)CC2[C@]4(C)/C=N\CC23CCC4)[C@H](O)C5=C,,isoazitine,C21H31NO,313.48500000000007,Aconitum sp,natural,alkaloid,diterpene alkaloid,,,,,10.1021/cr400552x,,,,,,,,,,0.000,,,,,,,,,,,,Hostcell,linf,,,,,,,,,>200 mg/L,50%,,,,,,,,,Macrophage line J774A.1 (ECACC number 91051511),,,,,,,,,,,,,,,,,,,,,,not show toxicity,,,
