CompoundID,SMILES,Biological Activity,% Inhibition ,IC50(µM/ml) ,IC50(µg/ml),Weight,Origin,Formula,Common name,Nature,Family,Sub family,References,References_
7,COc3cc2c(=O)c5nccc4cc1OCOc1c(c2cc3OC)c45,Active,,0.01,,335.315,Duguetia furfuracea (Annonaceae),C19H13NO5,dicentrinona,natural,alkaloid,isoquinoline alkaloid,10.1021/cr400552x  ,  10.1016/j.phymed.2009.03.019
8,COc4ccc3CC2c1cc(OC)c(OC)cc1C=C[NH+]2Cc3c4OC,Active,,17.03,,354.426,Duguetia furfuracea (Annonaceae),C21H24NO4+,N-methylte-trahydropalmatine,natural,alkaloid,isoquinoline alkaloid,10.1021/cr400552x  ,  10.1016/j.phymed.2009.03.019
9,COC1=CC2=C(CC1OC)c4c(OC)c(OC)cc3CC[N+](C)(C)C(C2)c34,Active,,4.88,,372.485,Duguetia furfuracea (Annonaceae),C22H30NO4+,N-methylglaucine,natural, alkaloid,isoquinoline alkaloid,10.1021/cr400552x  ,  10.1016/j.phymed.2009.03.019
10,COc1ccc3c(c1)cc5NCCc4cc2OCOc2c3c45,Active,,3 ±0.27,,295.3325,Guatteria amplifolia,C18H17NO3,"Xylopine  
",natural,alkaloid,isoquinoline alkaloid,10.1021/cr400552x  ,  10.1055/s-2003-41126
10,COc1ccc3c(c1)cc5NCCc4cc2OCOc2c3c45,Active,,6 ±0.07,,295.3325,Guatteria amplifolia,C18H17NO3,"Xylopine  
",natural,alkaloid,isoquinoline alkaloid,10.1021/cr400552x  ,  10.1055/s-2003-41126
10,COc1ccc3c(c1)cc5NCCc4cc2OCOc2c3c45,Active,,112 ±0.2,,295.3325,Guatteria amplifolia,C18H17NO3,"Xylopine  
",natural,alkaloid,isoquinoline alkaloid,10.1021/cr400552x  ,  10.1055/s-2003-41126
11,COc1cc2c3c(c1OC)-c4ccccc4C[C@@H]3NCC2,Active,,14 ±1.0,,281.349,Guatteria amplifolia,C18H19NO2,nornuciferine,natural, alkaloid,isoquinoline alkaloid,10.1021/cr400552x  ,  10.1055/s-2003-41126
11,COc1cc2c3c(c1OC)-c4ccccc4C[C@@H]3NCC2,Active,,28 ±11.3,,281.349,Guatteria amplifolia,C18H19NO2,nornuciferine,natural, alkaloid,isoquinoline alkaloid,10.1021/cr400552x  ,  10.1055/s-2003-41126
11,COc1cc2c3c(c1OC)-c4ccccc4C[C@@H]3NCC2,Active,,> 40,,281.349,Guatteria amplifolia,C18H19NO2,nornuciferine,natural, alkaloid,isoquinoline alkaloid,10.1021/cr400552x  ,  10.1055/s-2003-41126
12,COc1cc2c3c(c1OC)-c4cc5c(cc4CC3NCC2)OCO5,Active,,24 ±0.03,,325.358,Guatteria dumetorum,C19H19NO4,"nornantenine
",natural,alkaloid,isoquinoline alkaloid,10.1021/cr400552x  ,  10.1055/s-2003-41126
12,COc1cc2c3c(c1OC)-c4cc5c(cc4CC3NCC2)OCO5,Active,,15 ±0.45,,325.358,Guatteria dumetorum,C19H19NO4,"nornantenine
",natural,alkaloid,isoquinoline alkaloid,10.1021/cr400552x  ,  10.1055/s-2003-41126
12,COc1cc2c3c(c1OC)-c4cc5c(cc4CC3NCC2)OCO5,Active,,> 40,,325.358,Guatteria dumetorum,C19H19NO4,"nornantenine
",natural,alkaloid,isoquinoline alkaloid,10.1021/cr400552x  ,  10.1055/s-2003-41126
13,COc4cc(OC)c3c[n+]2CCc1cc(O)c(OC)cc1c2cc3c4 ,Inactive,,,,338.383,stem bark of Tinospora sinensis,C20H20NO4,,natural,alkaloid,isoquinoline alkaloid,10.1021/cr400552x  ,  10.1055/s-2003-41126
14,COc4cc3C[C@H](C)[N+](c1ccc(OC)c2c(OC)cc(C)cc12)=C(C)c3c(OC)c4 ,Active,,4.90 ±2.93,2.61,420.529,Ancistrocladus ealaensis (Ancistrocladaceae),C26H30NO4+,"ancistrocladinium A 
",natural,alkaloid,naphthylisoquinoline alkaloid,10.1021/cr400552x ,  10.1128/AAC.00936-06
14,COc4cc3C[C@H](C)[N+](c1ccc(OC)c2c(OC)cc(C)cc12)=C(C)c3c(OC)c4 ,Active,,31.76 ±4.75,,420.529,Ancistrocladus ealaensis (Ancistrocladaceae),C26H30NO4+,"ancistrocladinium A 
",natural,alkaloid,naphthylisoquinoline alkaloid,10.1021/cr400552x ,   10.1128/AAC.00936-06
16,COc2cc1C[C@H](C)N=C(C)c1c(OC)c2c4c(C)cc3cccc(OC)c3c4O ,Active,,,2.9,405.486,Ancistrocladus tanzaniensis (Ancistrocladaceae),C25H27NO4,ancistrocladidine,natural,alkaloid,naphthylisoquinoline alkaloid,10.1021/cr400552x,
17,COc3cc(OC)c(c1ccc(OC)c2c(OC)cc(C)cc12)c4C[C@H](C)N=C(C)c34 ,Active,,3.81,1.6,419.5128,,C26H29NO4,ancistrotanzanine B,natural,Alkaloid,Naphthylisoquinoline Alkaloid,10.1021/cr400552x,
18,COc3cc(OC)c(c2c(C)cc1cccc(OC)c1c2O)c4C[C@H](C)N=C(C)c34,Active,,,1.6,405.494,Ancistrocladus tanzaniensis (Ancistrocladaceae),C25H27NO4,ancistrotanazanine A,natural, alkaloid,naphthylisoquinoline alkaloid,10.1021/cr400552x,
19,[H][C@]3(CC)CN2CCc1cc(O)c(OC)cc1[C@]2([H])C[C@]3([H])C[C@@]5(O)NCCc4cc(O)c(OC)cc45,Active,,,0.4,468.585,Psychotria klugii,C27H36N2O5,klugine,natural,alkaloid,benzoquinolizidine alkaloid,10.1021/cr400552x,
20,[H][C@]3(CC)CN2CCc1cc(OC)c(OC)cc1[C@]2([H])C[C@]3([H])CC5NCCc4cc(O)c(OC)cc45,Active,,,0.03,466.612,Psychotria klugii,C28H38N2O4,cephaeline,natural,alkaloid,benzoquinolizidine alkaloid,10.1021/cr400552x,
21,CN1CCc2cc(c3cc2C1Cc4ccc(c(c4)-c5cc(ccc5O)CC6c7c(cc(c(c7O3)OC)OC)CCN6C)OC)OC,Active,,0.53 ±0.09,,622.762,Triclisia patens,C38H42N2O6,"funiferine 
",natural,alkaloid,benzoquinolizidine alkaloid,10.1021/cr400552x ,  10.1002/ptr.929 
22,[H][C@@]46Cc1ccc(OC)c(c1)c2cc(ccc2O)C[C@@]7([H])c3c(cc(OC)c(O)c3Oc5cc4c(cc5OC)CCN6C)CCN7C,Active,,0.79 ±0.05,,608.735,Triclisia patens,C37H40N2O6,tiliageine,natural,alkaloid,benzoquinolizidine alkaloid,10.1021/cr400552x ,  10.1002/ptr.929 
23,CN1CCc2cc(c3cc2[C@H]1Cc4ccc(c(c4)Oc5ccc(cc5)C[C@H]6c7c(cc(c(c7O3)OC)OC)CCN6C)O)OC,Active,,0.68 ±0.16,,608.723,Triclisia patens,C37H40N2O6,oxyacanthine,natural,alkaloid,benzoquinolizidine alkaloid,10.1021/cr400552x ,  10.1002/ptr.929 
24,CN1CCc2cc(c3cc2[C@@H]1Cc4ccc(cc4)Oc5cc(ccc5OC)C[C@H]6c7c(cc(c(c7O3)O)OC)CCN6C)OC,Active,,0.39,,608.723,Triclisia patens,C37H40N2O6,fangchinoline,natural,alkaloid,benzoquinolizidine alkaloid,10.1021/cr400552x ,  10.1002/ptr.929 
25,[H][C@]34Cc1ccc(OC)c(c1)Oc2ccc(cc2)C[C@@]8([H])c6c(cc(OC)c7oc5cc(CCN3C)c4cc5oc67)CCN8C,Active,,0.57 ±0.01,,576.693,Psychotria klugii,C36H36N2O5,isotriboline,natural,alkaloid,benzoquinolizidine alkaloid,10.1021/cr400552x ,  10.1002/ptr.929 
26,[H][C@@]13CC4CCC1([C@H](C)CC2[C@@](C)(CI)C(=O)N(CCOC(C)=O)CC23CC)[C@H](OC(C)=O)C4=C,Active,,33.7,,585.523,Aconitum sp,C27H40INO5,,natural,alkaloid,diterpene alkaloid,10.1021/cr400552x,
26,[H][C@@]13CC4CCC1([C@H](C)CC2[C@@](C)(CI)C(=O)N(CCOC(C)=O)CC23CC)[C@H](OC(C)=O)C4=C,Active,,162.3,,585.523,Aconitum sp,C27H40INO5,,natural,alkaloid,diterpene alkaloid,10.1021/cr400552x,
27,C=C[C@]7(C)[C@@H](OC1OCC(OS)C(O)C1OC2OC(C)C(O)C(O)C2O)CC[C@]8(C)C6=CC(O)C45C(=O)O[C@@](C)(C3CCC(C)(C)O3)[C@@]4(O)CC[C@@]5(C)C6CCC78 ,Active,,27.9,,299.45,Aconitum sp,C20H29NO,azitine,natural,alkaloid,diterpene alkaloid,10.1021/cr400552x,
27,C=C[C@]7(C)[C@@H](OC1OCC(OS)C(O)C1OC2OC(C)C(O)C(O)C2O)CC[C@]8(C)C6=CC(O)C45C(=O)O[C@@](C)(C3CCC(C)(C)O3)[C@@]4(O)CC[C@@]5(C)C6CCC78 ,Inactive,,,,299.45,Aconitum sp,C20H29NO,azitine,natural,alkaloid,diterpene alkaloid,10.1021/cr400552x,
28,[H][C@@]13CC5CCC1([C@H](C)CC2[C@]4(C)/C=N\CC23CCC4)[C@H](O)C5=C,Active,,24.6,,313.485,Aconitum sp,C21H31NO,isoazitine,natural,alkaloid,diterpene alkaloid,10.1021/cr400552x,
28,[H][C@@]13CC5CCC1([C@H](C)CC2[C@]4(C)/C=N\CC23CCC4)[C@H](O)C5=C,Inactive,,,,313.485,Aconitum sp,C21H31NO,isoazitine,natural,alkaloid,diterpene alkaloid,10.1021/cr400552x,
29,C[N@@+]2(C)[I+]C[C@H](OC(=O)/C=C/c1ccc(O)cc1)C[C@H]2C(=O)[O-],Active,,,9.1,432.234,Phlomis brunneogaleata of the family Lamiaceae,C16H19INO5+,pyrrolidinium derivative,natural,Alkaloid,Pyrrolidinium Alkaloid,10.1021/cr400552x   ,
30,Cn1c2ccccc2c(=O)c3c1c4c(cc3O)O[C@@H](C4)[C@](CO)(C(=O)OC)O,Active,,10,,385.367,Thamnosma rhodesica,C20H19NO7,rhodesiacridone,natural,Alkaloid,acridone alkaloid,10.1021/cr400552x,
30,Cn1c2ccccc2c(=O)c3c1c4c(cc3O)O[C@@H](C4)[C@](CO)(C(=O)OC)O,Inactive,,,,385.367,Thamnosma rhodesica,C20H19NO7,rhodesiacridone,natural,Alkaloid,acridone alkaloid,10.1021/cr400552x,
31,CC(CO)(C1Cc2c(cc(c3c2n(c4ccccc4c3=O)C)O)O1)O,Active,,10,,341.358,Thamnosma rhodesica,C19H19NO5,gravacridonediol,natural,alkaloid,acridone alkaloid,10.1021/cr400552x,
31,CC(CO)(C1Cc2c(cc(c3c2n(c4ccccc4c3=O)C)O)O1)O,Active,,1,,341.358,Thamnosma rhodesica,C19H19NO5,gravacridonediol,natural,alkaloid,acridone alkaloid,10.1021/cr400552x,
32,Cn1c2ccccc2c(=O)c3c1c(c(c(c3O)OC)OC)OC,Active,,,1.08,315.321,Teclea trichocarpa, C17H17NO5,normelicopicine,natural,alkaloid,acridone alkaloid,10.1021/cr400552x,
33,Cn1c2ccccc2c(=O)c3c1cc(c(c3O)OC)OC,Active,,,5.2,285.295,Teclea trichocarpa,C16H15NO4,arborinine,natural,alkaloid,acridone alkaloid,10.1021/cr400552x,
34,c1ccc2c(c1)c3ccnc4c3n2c(=O)cc4,Active,,,,220.226,,C14H8N2O," 
",natural,alkaloid,beta-carboline alkaloid,10.1021/cr400552x,
35,COc1cc2c3c(ccn2)c4ccccc4n3c1=O,Active,,,,250.252,,C15H10N2O2,,natural,alkaloid,beta-carboline alkaloid,10.1021/cr400552x,
38,c1ccc2c(c1)c3c([nH]2)[C@]45C[C@@H]6[C@H]([C@H](O4)CN5CC3)[C@H](OC=C6C(=O)O)OC7[C@H]([C@@H]([C@H]([C@@H](O7)CO)O)O)O,Active,,1.2,,530.524,Nauclea diderrichii,C26H30N2O10,cadambine acid,natural,alkaloid,beta-carboline alkaloid,10.1021/cr400552x,
39,c1ccc2c(c1)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC/C=C\[C@H]8C7)O,Active,,1.64,0.9,548.761,Indonesian sponge Acanthostrongylophora sp,C36H44N4O,manzamine A,natural,alkaloid,manzamine alkaloid,10.1021/cr400552x ,  10.1016/j.bmc.2013.11.048
40,c1cc2c3ccnc(c3[nH]c2c(c1)O)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC/C=C\[C@H]8C7)O,Active,,10.97,,564.76,Indonesian sponge Acanthostrongylophora sp,C36H44N4O2,8-hydroxymanzamine A,natural,alkaloid,manzamine alkaloid,10.1021/cr400552x ,  10.1016/j.bmc.2013.11.048
41,c1ccc2c(c1)c3cc[n+](c(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC/C=C\[C@H]8C7)O)[O-],Active,,1.94,1.1,564.76,Indonesian sponge Acanthostrongylophora sp,C36H44N4O2,"manzamine A N-oxide 
",natural,alkaloid,manzamine alkaloid,10.1021/cr400552x ,  10.1016/j.bmc.2013.11.048
42,c1ccc2c(c1)c3cc[nH+]c(c3[nH]2)C4=C[C@]5(CC/C=C\CCCC[NH+]6CC[C@H]4[C@]7(C6)[C@H]5N8CCCC(=O)CC[C@H]8C7)O,Active,,,6.72,566.79,Indonesian sponge Acanthostrongylophora sp,C36H44N4O2,manzamine E,natural,alkaloid,manzamine alkaloid,10.1021/cr400552x ,  10.1016/j.bmc.2013.11.048
43,c1cc2c(cc1O)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC(=O)CC[C@H]8C7)O,Active,,4.3,,580.76,the Indonesian sponge Acanthostrongylophora sp,C36H44N4O3,6-hydroxymanzamine E,natural,alkaloid,manzamine alkaloid,10.1021/cr400552x ,  10.1016/j.bmc.2013.11.048
44,c1cc2c3ccnc(c3[nH]c2c(c1)O)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC(=O)CC[C@H]8C7)O,Active,,7.23,,580.76,the Indonesian sponge Acanthostrongylophora sp,C36H44N4O3,manzamine F,natural,alkaloid,manzamine alkaloid,10.1021/cr400552x ,  10.1016/j.bmc.2013.11.048
45,c1ccc2c(c1)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5NCCCC/C=C\CC7)O,Active,,45.39,,550.777,Indonesian sponge Acanthostrongylophora sp,C36H46N4O,manzamine J,natural,alkaloid,manzamine alkaloid,10.1021/cr400552x ,  10.1016/j.bmc.2013.11.048
46,O[C@@]13/C=C(/CO)[C@H]5CCN(CCCC\C=C/CC1)C[C@@]45C[C@H]2/C=C\CCCCN2[C@H]34,Active,,2.18,0.9,412.608,Indonesian sponge Acanthostrongylophora sp,C26H40N2O2,ircinol A,natural,alkaloid,manzamine alkaloid,10.1021/cr400552x ,  10.1016/j.bmc.2013.11.048
47,C1CCN2CC[C@H]3C(=C[C@@](CC/C=C\C1)([C@H]4[C@]3(C2)C[C@H]/5N4CCCC/C=C5)O)C=O,Active,,0.9-6.2,,410.592,Indonesian sponge Acanthostrongylophora sp,C26H38N2O2,"ircinal A 
",natural,alkaloid,manzamine alkaloid,10.1021/cr400552x,
48,c1cc2c(cc1O)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCC[C@@H]9CC[C@@]8(C7)O9)O,Active,,,0.9-6.2,580.76,Indonesian sponge Acanthostrongylophora sp,C36H44N4O3,manzamine X,natural,alkaloid,manzamine alkaloid,10.1021/cr400552x,
49,c1ccc2c(c1)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCC[C@@H]9CC[C@@]8(C7)O9)O,Active,,,0.9-6.2,564.76,Indonesian sponge Acanthostrongylophora sp,C36H44N4O2,6-deoxymanzamine X,natural,alkaloid,manzamine alkaloid,10.1021/cr400552x,
50,C1CCN2CC[C@H]3C(=C[C@@](CC/C=C\C1)([C@H]4[C@]3(C2)C[C@H]/5N4CCCC/C=C5)O)C6=NC=CC7=C6NC8=C7C=C(C=C8)O,Active,,,1.6,564.76,Indonesian sponge Acanthostrongylophora sp.,C36H44N4O2,manzamine Y,natural,alkaloid,manzamine alkaloid,10.1021/cr400552x    ,
51/52,[H][C@]/7(CC[C@]1([H])NCCc2c1[nH]c3ccccc23)C[C@@]6([H])c5[nH]c4ccc(C(C)=O)cc4c5CCN6CC7=C\C,Active,,,,492.667,Aspidosperma ramiflorum (Apocynaceae),C32H36N4O,ramiflorine A,natural,alkaloid,indole alkaloid,10.1021/cr400552x,
53,Cc3c1ccccc1nc4c(=O)c2ccccc2c(=O)c34,Active,,,0.78,273.291,,C18H11NO2,,natural,alkaloid,pyridoacridinone alkaloid,"10.1021/cr400552x;
10.1055/s-2003-40640 
    ",
54,CN(C)/C=C/c3c1ccccc1nc4c(=O)c2ccccc2c(=O)c34,Active,,,1.7,328.371,,C21H16N2O2,,natural,alkaloid,pyridoacridinone alkaloid,"10.1021/cr400552x;
    10.1055/s-2003-40640",
55,CN(C)CCc3c1ccccc1nc4c(=O)c2ccccc2c(=O)c34,Active,,,1.9,330.387,,C21H18N2O2,,natural,alkaloid,pyridoacridinone alkaloid,"10.1021/cr400552x
    10.1055/s-2003-40640",
56,CCSc2cc(=O)c4nc1ccccc1c3ccnc2c34,Active,,,3.4,292.363,,C17H12N2OS,,natural,alkaloid,pyridoacridinone alkaloid,"10.1021/cr400552x
    10.1055/s-2003-40640",
57,Cc5ccc(Sc2cc(=O)c4nc1ccccc1c3ccnc2c34)cc5,Active,,,5.4,354.434,,C22H14N2OS,,natural, alkaloid,pyridoacridinone alkaloid,"10.1021/cr400552x
    10.1055/s-2003-40640",
58,Nc2cc(=O)c4nc1ccccc1c3ccnc2c34,Active,,,5.7,247.257,,C15H9N3O,,natural,alkaloid,pyridoacridinone alkaloid,"10.1021/cr400552x
    10.1055/s-2003-40640",
59,O=c3c1ccccc1c5nccc4c2ccccc2nc3c45,Active,,,6.8,282.302,,C19H10N2O,,natural,alkaloid,pyridoacridinone alkaloid,"10.1021/cr400552x
    10.1055/s-2003-40640",
60,O=c3c1cccnc1c5nccc4c2ccccc2nc3c45,Active,,,8.7,283.29,,C18H9N3O,,natural,alkaloid,pyridoacridinone alkaloid,"10.1021/cr400552x
    10.1055/s-2003-40640",
61,CCCCCCCCC[C@@H]1C[C@@H]2CC[C@@H]3N2C(=N1)N[C@@H]([C@@H]3C(=O)O[C@H](C)CCCCCCC[C@@H]4C[C@@H]5CC[C@H]6N5C(=N4)N[C@H](C6)C)C,Active,,,1.9,652.996,"Jamaican sponge Monanchora
unguifera",C39H68N6O2,"batzelladine L
",natural,alkaloid,batzelladine alkaloid,10.1021/cr400552x,
62,CCCCCCC[C@@H]1C[C@@H]2CCC3=C(C(N=C(N23)N1)C)C(=O)OCCCCCCC[C@@H]4C[C@@H]5CC[C@H]6N5C(=N4)N[C@H](C6)C,Active,,,8.5,594.874,"Jamaican sponge Monanchora
unguifera",C35H58N6O2, batzelladine M,natural,alkaloid,batzelladine alkaloid,10.1021/cr400552x,
63,[H][C@@H]5CCC[C@@]2(N/C3=N/[C@]1(CC/C=C\[C@H](CC)O1)C[C@]4([H])CC[C@]([H])([C@@H]2C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)C[C@@H](C)CCN)N34)O5,Active,,,5.9,785.1539,"Jamaican sponge Monanchora
unguifera",C45H80N6O5,ptilomycalin A,natural,alkaloid,batzelladine alkaloid,10.1021/cr400552x,
64,[H][C@]34CC[C@]5([H])[C@H](C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)C[C@@H](C)CCN)[C@]1(CCC[C@@H](O)O1)N/C(=N/[C@]2(CC/C=C\[C@H](CC)O2)C3)N45,Active,,,6.8,801.171,"Jamaican sponge Monanchora
unguifera",C45H80N6O6,crambescidine,natural,alkaloid,batzelladine alkaloid,10.1021/cr400552x,
65,CCCCCCCC[C@H]1C[C@]3(C)CC/C2=C(C(=O)OCCCCNC(=N)N)/C(CCCCC)/N=C(N1)\N23,Active,,,5.5,516.775,"Jamaican sponge Monanchora
unguifera",C29H52N6O2,batzelladine C,natural,alkaloid,batzelladine alkaloid,10.1021/cr400552x,
66,CCCCCCCC[C@H]1C[C@]3(C)CCc2c(C(=O)OCCCCNC(=N)N)c(CCCCC)nc(=N1)n23,Active,,,5.7,486.693,"Jamaican sponge Monanchora
unguifera",C27H46N6O2,dehydrobatzelladine C,natural,alkaloid,batzelladine alkaloid,10.1021/cr400552x,
67,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])(O)[C@@H](NC(=O)/C=C/C)[C@@]([H])(O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,Active,,,52.74,460.703,Nepalese species Sarcococca hookeriana,C28H48N2O3,,natural,alkaloid,steroidal alkaloid,"10.1021/cr400552x;
    10.1080/14786410701192736",
68,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])(OC(C)=O)[C@@H](NC(=O)/C=C/C)[C@]([H])(O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,Active,,,0.2,502.74,Nepalese species Sarcococca hookeriana,C30H50N2O4,,natural,alkaloid,steroidal alkaloid,"10.1021/cr400552x;
    10.1080/14786410701192736",
71,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])([H])[C@@H](NC(=O)/C=C/C)[C@@]([H])(OC(C)=O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,Active,,,3.78,486.741,Nepalese species Sarcococca hookeriana,C30H50N2O3,,natural,Alkaloid,Steroidal Alkaloid,"10.1021/cr400552x;
    10.1080/14786410701192736

",
70,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C=O)[C@@]1(C)CC[C@@]23[H])[C@]([H])([H])[C@H]4NCC(=O)/C=C(C)/C(C)C,Active,,,6.49,498.796,Nepalese species Sarcococca hookeriana,C32H54N2O2,,natural,Alkaloid,Steroidal Alkaloid,10.1021/cr400552x  ,    10.1080/14786410701192736
71,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])([H])[C@@H](NC(=O)/C=C/C)[C@@]([H])(OC(C)=O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,Active,,,3.36,486.741,Nepalese species Sarcococca hookeriana,C30H50N2O3,,natural,alkaloid,steroidal alkaloid,"10.1021/cr400552x;
    10.1080/14786410701192736",
72,[H][C@H]4C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CCC([C@]([H])(C)NC)C1(C)CC[C@@]23[H])[C@@]([H])(O)[C@H]4NC(=O)/C(C)=C/C,Active,,,2.29,430.677,Nepalese species Sarcococca hookeriana,C27H46N2O2,,natural,alkaloid,steroidal alkaloid,"10.1021/cr400552x;
    10.1080/14786410701192736",
74,[H][C@H]4C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)NC)[C@@]1(C)CC[C@@]23[H])[C@@]([H])(O)[C@H]4NC(=O)/C(C)=C/C,Active,,,3.27,444.704,Nepalese species Sarcococca hookeriana,C28H48N2O2,,natural,alkaloid,steroidal alkaloid,"10.1021/cr400552x;
    10.1080/14786410701192736",
79,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@@]([H])([H])[C@H]4NC,Active,,,2,374.657,Nepalese species Sarcococca hookeriana,C25H46N2,,natural,alkaloid,Steroidal Alkaloid,"10.1021/cr400552x;
    10.1080/14786410701192736",
76,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@]([H])(O)[C@H]4O,Active,,,55.33,377.613,Nepalese species Sarcococca hookeriana,C24H43NO2,,natural,Alkaloid,Steroidal Alkaloid,"10.1021/cr400552x;
    10.1080/14786410701192736",
77,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@@]([H])([H])[C@H]4N,Active,,,3.41,360.63,Nepalese species Sarcococca hookeriana,C24H44N2,,natural,alkaloid,steroidal alkaloid,"10.1021/cr400552x,
    10.1080/14786410701192736",
