,ID_compound,SMILES,Common name,Biological Activity,Pathogen,Category,IC50 (µM),IC50(µg/ml),% Inhibition,Tested at [C],Molecular Weight,Origin,Formula,Reference,PUBCHEM_CID
10,11,COc3cc2c(=O)c5nccc4cc1OCOc1c(c2cc3OC)c45,dicentrinona,Active,Leishmania,Extracellular,0.01,,,,335.32,Duguetia furfuracea (Annonaceae),C19H13NO5,"10.1021/cr400552x;
   10.1016/j.phymed.2009.03.019 ",0
11,12,COc4ccc3CC2c1cc(OC)c(OC)cc1C=C[NH+]2Cc3c4OC,N-methylte-trahydropalmatine,Active,Leishmania,Extracellular,17.03,,,,354.43,Duguetia furfuracea (Annonaceae),C21H24NO4+,"10.1021/cr400552x;
   10.1016/j.phymed.2009.03.019 ",0
12,13,COC1=CC2=C(CC1OC)c4c(OC)c(OC)cc3CC[N+](C)(C)C(C2)c34,N-methylglaucine,Active,Leishmania,Extracellular,4.88,,,,372.48,Duguetia furfuracea (Annonaceae),C22H30NO4+,"10.1021/cr400552x;
   10.1016/j.phymed.2009.03.019 ",0
13,14,COc1ccc3c(c1)cc5NCCc4cc2OCOc2c3c45,"Xylopine  
",Active,Leishmania,Extracellular,3 ±0.27,,,,295.33,Guatteria amplifolia,C18H17NO3,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",0
14,15,COc1ccc3c(c1)cc5NCCc4cc2OCOc2c3c45,"Xylopine  
",Active,Leishmania,Extracellular,6 ±0.07,,,,295.33,Guatteria amplifolia,C18H17NO3,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",0
15,16,COc1ccc3c(c1)cc5NCCc4cc2OCOc2c3c45,"Xylopine  
",Active,Leishmania,Extracellular,112 ±0.2,,,,295.33,Guatteria amplifolia,C18H17NO3,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",0
16,17,COc1cc2c3c(c1OC)-c4ccccc4C[C@@H]3NCC2,nornuciferine,Active,Leishmania,Extracellular,14 ±1.0,,,,281.35,Guatteria amplifolia,C18H19NO2,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",0
17,18,COc1cc2c3c(c1OC)-c4ccccc4C[C@@H]3NCC2,nornuciferine,Active,Leishmania,Extracellular,28 ±11.3,,,,281.35,Guatteria amplifolia,C18H19NO2,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",0
18,19,COc1cc2c3c(c1OC)-c4ccccc4C[C@@H]3NCC2,nornuciferine,Active,Leishmania,Extracellular,> 40,,,,281.35,Guatteria amplifolia,C18H19NO2,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",0
19,20,COc1cc2c3c(c1OC)-c4cc5c(cc4CC3NCC2)OCO5,"nornantenine
",Active,Leishmania,Extracellular,24 ±0.03,,,,325.36,Guatteria dumetorum,C19H19NO4,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",0
20,21,COc1cc2c3c(c1OC)-c4cc5c(cc4CC3NCC2)OCO5,"nornantenine
",Active,Leishmania,Extracellular,15 ±0.45,,,,325.36,Guatteria dumetorum,C19H19NO4,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",0
21,22,COc1cc2c3c(c1OC)-c4cc5c(cc4CC3NCC2)OCO5,"nornantenine
",Active,Leishmania,Extracellular,> 40,,,,325.36,Guatteria dumetorum,C19H19NO4,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",0
22,23,COc4cc(OC)c3c[n+]2CCc1cc(O)c(OC)cc1c2cc3c4,,Inactive,Leishmania,Intracellular,,,,,338.38,stem bark of Tinospora sinensis,C20H20NO4,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",0
23,24,COc4cc3C[C@H](C)[N+](c1ccc(OC)c2c(OC)cc(C)cc12)=C(C)c3c(OC)c4,"ancistrocladinium A 
",Active,Leishmania,Extracellular,4.90 ±2.93,2.61,,,420.53,Ancistrocladus ealaensis (Ancistrocladaceae),C26H30NO4+,"10.1021/cr400552x;
   10.1128/AAC.00936-06 ",0
24,25,COc4cc3C[C@H](C)[N+](c1ccc(OC)c2c(OC)cc(C)cc12)=C(C)c3c(OC)c4,"ancistrocladinium A 
",Active,Leishmania,Extracellular,31.76 ±4.75,,,,420.53,Ancistrocladus ealaensis (Ancistrocladaceae),C26H30NO4+,"10.1021/cr400552x;
   10.1128/AAC.00936-06 ",0
25,26,COc2cc1C[C@H](C)N=C(C)c1c(OC)c2c4c(C)cc3cccc(OC)c3c4O,ancistrocladidine,Active,Leishmania,Extracellular,,2.9,,,405.49,Ancistrocladus tanzaniensis (Ancistrocladaceae),C25H27NO4,10.1021/cr400552x,0
26,27,COc3cc(OC)c(c1ccc(OC)c2c(OC)cc(C)cc12)c4C[C@H](C)N=C(C)c34,ancistrotanzanine B,Active,Leishmania,Extracellular,3.81,1.6,,,419.51,,C26H29NO4,10.1021/cr400552x,0
27,28,COc3cc(OC)c(c2c(C)cc1cccc(OC)c1c2O)c4C[C@H](C)N=C(C)c34,ancistrotanazanine A,Active,Leishmania,Extracellular,,1.6,,,405.49,Ancistrocladus tanzaniensis (Ancistrocladaceae),C25H27NO4,10.1021/cr400552x,0
28,29,[H][C@]3(CC)CN2CCc1cc(O)c(OC)cc1[C@]2([H])C[C@]3([H])C[C@@]5(O)NCCc4cc(O)c(OC)cc45,klugine,Active,Leishmania,Extracellular,,0.4,,,468.58,Psychotria klugii,C27H36N2O5,10.1021/cr400552x,0
29,30,[H][C@]3(CC)CN2CCc1cc(OC)c(OC)cc1[C@]2([H])C[C@]3([H])CC5NCCc4cc(O)c(OC)cc45,cephaeline,Active,Leishmania,Extracellular,,0.03,,,466.61,Psychotria klugii,C28H38N2O4,10.1021/cr400552x,0
30,31,CN1CCc2cc(c3cc2C1Cc4ccc(c(c4)-c5cc(ccc5O)CC6c7c(cc(c(c7O3)OC)OC)CCN6C)OC)OC,"funiferine 
",Active,Leishmania,Extracellular,0.53 ±0.09,,,,622.76,Triclisia patens,C38H42N2O6,"10.1021/cr400552x;
   10.1002/ptr.929  ",0
31,32,[H][C@@]46Cc1ccc(OC)c(c1)c2cc(ccc2O)C[C@@]7([H])c3c(cc(OC)c(O)c3Oc5cc4c(cc5OC)CCN6C)CCN7C,tiliageine,Active,Leishmania,Extracellular,0.79 ±0.05,,,,608.74,Triclisia patens,C37H40N2O6,"10.1021/cr400552x;
   10.1002/ptr.929  ",0
32,33,CN1CCc2cc(c3cc2[C@H]1Cc4ccc(c(c4)Oc5ccc(cc5)C[C@H]6c7c(cc(c(c7O3)OC)OC)CCN6C)O)OC,oxyacanthine,Active,Leishmania,Extracellular,0.68 ±0.16,,,,608.72,Triclisia patens,C37H40N2O6,"10.1021/cr400552x;
   10.1002/ptr.929  ",0
33,34,CN1CCc2cc(c3cc2[C@@H]1Cc4ccc(cc4)Oc5cc(ccc5OC)C[C@H]6c7c(cc(c(c7O3)O)OC)CCN6C)OC,fangchinoline,Active,Leishmania,Extracellular,0.39,,,,608.72,Triclisia patens,C37H40N2O6,"10.1021/cr400552x;
   10.1002/ptr.929  ",0
34,35,[H][C@]34Cc1ccc(OC)c(c1)Oc2ccc(cc2)C[C@@]8([H])c6c(cc(OC)c7oc5cc(CCN3C)c4cc5oc67)CCN8C,isotriboline,Active,Leishmania,Extracellular,0.57 ±0.01,,,,576.69,Psychotria klugii,C36H36N2O5,"10.1021/cr400552x;
   10.1002/ptr.929  ",0
35,36,[H][C@@]13CC4CCC1([C@H](C)CC2[C@@](C)(CI)C(=O)N(CCOC(C)=O)CC23CC)[C@H](OC(C)=O)C4=C,,Active,Leishmania,Extracellular,33.7,,,,585.52,Aconitum sp,C27H40INO5,10.1021/cr400552x,0
36,37,[H][C@@]13CC4CCC1([C@H](C)CC2[C@@](C)(CI)C(=O)N(CCOC(C)=O)CC23CC)[C@H](OC(C)=O)C4=C,,Active,Leishmania,Extracellular,162.3,,,,585.52,Aconitum sp,C27H40INO5,10.1021/cr400552x,0
37,38,C=C[C@]7(C)[C@@H](OC1OCC(OS)C(O)C1OC2OC(C)C(O)C(O)C2O)CC[C@]8(C)C6=CC(O)C45C(=O)O[C@@](C)(C3CCC(C)(C)O3)[C@@]4(O)CC[C@@]5(C)C6CCC78,azitine,Active,Leishmania,Extracellular,27.9,,,,299.45,Aconitum sp,C20H29NO,10.1021/cr400552x,0
38,39,C=C[C@]7(C)[C@@H](OC1OCC(OS)C(O)C1OC2OC(C)C(O)C(O)C2O)CC[C@]8(C)C6=CC(O)C45C(=O)O[C@@](C)(C3CCC(C)(C)O3)[C@@]4(O)CC[C@@]5(C)C6CCC78,azitine,Inactive,Leishmania,Extracellular,,,,,299.45,Aconitum sp,C20H29NO,10.1021/cr400552x,0
39,40,[H][C@@]13CC5CCC1([C@H](C)CC2[C@]4(C)/C=N\CC23CCC4)[C@H](O)C5=C,isoazitine,Active,Leishmania,Extracellular,24.6,,,,313.48,Aconitum sp,C21H31NO,10.1021/cr400552x,0
40,41,[H][C@@]13CC5CCC1([C@H](C)CC2[C@]4(C)/C=N\CC23CCC4)[C@H](O)C5=C,isoazitine,Inactive,Leishmania,Extracellular,,,,,313.48,Aconitum sp,C21H31NO,10.1021/cr400552x,0
41,42,C[N@@+]2(C)[I+]C[C@H](OC(=O)/C=C/c1ccc(O)cc1)C[C@H]2C(=O)[O-],pyrrolidinium derivative,Active,Leishmania,,,9.1,,,432.23,Phlomis brunneogaleata of the family Lamiaceae,C16H19INO5+,10.1021/cr400552x,0
42,43,Cn1c2ccccc2c(=O)c3c1c4c(cc3O)O[C@@H](C4)[C@](CO)(C(=O)OC)O,rhodesiacridone,Active,Leishmania,Intracellular,10,,,,385.37,Thamnosma rhodesica,C20H19NO7,10.1021/cr400552x,0
43,44,Cn1c2ccccc2c(=O)c3c1c4c(cc3O)O[C@@H](C4)[C@](CO)(C(=O)OC)O,rhodesiacridone,Inactive,Leishmania,Intracellular,,,,,385.37,Thamnosma rhodesica,C20H19NO7,10.1021/cr400552x,0
44,45,CC(CO)(C1Cc2c(cc(c3c2n(c4ccccc4c3=O)C)O)O1)O,gravacridonediol,Active,Leishmania,Intracellular,10,,,,341.36,Thamnosma rhodesica,C19H19NO5,10.1021/cr400552x,0
45,46,CC(CO)(C1Cc2c(cc(c3c2n(c4ccccc4c3=O)C)O)O1)O,gravacridonediol,Active,Leishmania,Intracellular,1,,,,341.36,Thamnosma rhodesica,C19H19NO5,10.1021/cr400552x,0
46,47,Cn1c2ccccc2c(=O)c3c1c(c(c(c3O)OC)OC)OC,normelicopicine,Active,Leishmania,Extracellular,,1.08,,,315.32,Teclea trichocarpa,C17H17NO5,10.1021/cr400552x,0
47,48,Cn1c2ccccc2c(=O)c3c1cc(c(c3O)OC)OC,arborinine,Active,Leishmania,Extracellular,,5.2,,,285.3,Teclea trichocarpa,C16H15NO4,10.1021/cr400552x,0
48,49,c1ccc2c(c1)c3ccnc4c3n2c(=O)cc4," 
",Active,Leishmania,Axenic,,,,,220.23,,C14H8N2O,10.1021/cr400552x,0
49,50,COc1cc2c3c(ccn2)c4ccccc4n3c1=O,,Active,Leishmania,Axenic,,,,,250.25,,C15H10N2O2,10.1021/cr400552x,0
50,51,c1ccc2c(c1)c3c([nH]2)[C@]45C[C@@H]6[C@H]([C@H](O4)CN5CC3)[C@H](OC=C6C(=O)O)OC7[C@H]([C@@H]([C@H]([C@@H](O7)CO)O)O)O,cadambine acid,Active,Leishmania,Intracellular,1.2,,,,530.52,Nauclea diderrichii,C26H30N2O10,10.1021/cr400552x,0
51,52,c1ccc2c(c1)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC/C=C\[C@H]8C7)O,manzamine A,Active,Leishmania,Extracellular,1.64,0.9,,,548.76,Indonesian sponge Acanthostrongylophora sp,C36H44N4O,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",0
52,53,c1cc2c3ccnc(c3[nH]c2c(c1)O)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC/C=C\[C@H]8C7)O,8-hydroxymanzamine A,Active,Leishmania,Extracellular,10.97,,,,564.76,Indonesian sponge Acanthostrongylophora sp,C36H44N4O2,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",0
53,54,c1ccc2c(c1)c3cc[n+](c(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC/C=C\[C@H]8C7)O)[O-],"manzamine A N-oxide 
",Active,Leishmania,Extracellular,1.94,1.1,,,564.76,Indonesian sponge Acanthostrongylophora sp,C36H44N4O2,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",0
54,55,c1ccc2c(c1)c3cc[nH+]c(c3[nH]2)C4=C[C@]5(CC/C=C\CCCC[NH+]6CC[C@H]4[C@]7(C6)[C@H]5N8CCCC(=O)CC[C@H]8C7)O,manzamine E,Active,Leishmania,Extracellular,,6.72,,,566.79,Indonesian sponge Acanthostrongylophora sp,C36H44N4O2,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",0
55,56,c1cc2c(cc1O)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC(=O)CC[C@H]8C7)O,6-hydroxymanzamine E,Active,Leishmania,Extracellular,4.3,,,,580.76,the Indonesian sponge Acanthostrongylophora sp,C36H44N4O3,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",0
56,57,c1cc2c3ccnc(c3[nH]c2c(c1)O)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC(=O)CC[C@H]8C7)O,manzamine F,Active,Leishmania,Extracellular,7.23,,,,580.76,the Indonesian sponge Acanthostrongylophora sp,C36H44N4O3,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",0
57,58,c1ccc2c(c1)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5NCCCC/C=C\CC7)O,manzamine J,Active,Leishmania,Extracellular,45.39,,,,550.78,Indonesian sponge Acanthostrongylophora sp,C36H46N4O,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",0
58,59,O[C@@]13/C=C(/CO)[C@H]5CCN(CCCC\C=C/CC1)C[C@@]45C[C@H]2/C=C\CCCCN2[C@H]34,ircinol A,Active,Leishmania,Extracellular,2.18,0.9,,,412.61,Indonesian sponge Acanthostrongylophora sp,C26H40N2O2,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",0
59,60,C1CCN2CC[C@H]3C(=C[C@@](CC/C=C\C1)([C@H]4[C@]3(C2)C[C@H]/5N4CCCC/C=C5)O)C=O,"ircinal A 
",Active,Leishmania,Extracellular,[0.9-6.2],,,,410.59,Indonesian sponge Acanthostrongylophora sp,C26H38N2O2,10.1021/cr400552x,0
60,61,c1cc2c(cc1O)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCC[C@@H]9CC[C@@]8(C7)O9)O,manzamine X,Active,Leishmania,Extracellular,,[0.9-6.2],,,580.76,Indonesian sponge Acanthostrongylophora sp,C36H44N4O3,10.1021/cr400552x,0
61,62,c1ccc2c(c1)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCC[C@@H]9CC[C@@]8(C7)O9)O,6-deoxymanzamine X,Active,Leishmania,Extracellular,,[0.9-6.2],,,564.76,Indonesian sponge Acanthostrongylophora sp,C36H44N4O2,10.1021/cr400552x,0
62,63,C1CCN2CC[C@H]3C(=C[C@@](CC/C=C\C1)([C@H]4[C@]3(C2)C[C@H]/5N4CCCC/C=C5)O)C6=NC=CC7=C6NC8=C7C=C(C=C8)O,manzamine Y,Active,Leishmania,Extracellular,,1.6,,,564.76,Indonesian sponge Acanthostrongylophora sp.,C36H44N4O2,10.1021/cr400552x,0
63,64,[H][C@]/7(CC[C@]1([H])NCCc2c1[nH]c3ccccc23)C[C@@]6([H])c5[nH]c4ccc(C(C)=O)cc4c5CCN6CC7=C\C,ramiflorine A,Active,Leishmania,Extracellular,,,,,492.67,Aspidosperma ramiflorum (Apocynaceae),C32H36N4O,10.1021/cr400552x,0
64,65,Cc3c1ccccc1nc4c(=O)c2ccccc2c(=O)c34,,Active,Leishmania,Extracellular,,0.78,,,273.29,,C18H11NO2,"10.1021/cr400552x;
10.1055/s-2003-40640 
    ",0
65,66,CN(C)/C=C/c3c1ccccc1nc4c(=O)c2ccccc2c(=O)c34,,Active,Leishmania,Extracellular,,1.7,,,328.37,,C21H16N2O2,"10.1021/cr400552x;
    10.1055/s-2003-40640",0
66,67,CN(C)CCc3c1ccccc1nc4c(=O)c2ccccc2c(=O)c34,,Active,Leishmania,Extracellular,,1.9,,,330.39,,C21H18N2O2,"10.1021/cr400552x
    10.1055/s-2003-40640",0
67,68,CCSc2cc(=O)c4nc1ccccc1c3ccnc2c34,,Active,Leishmania,Extracellular,,3.4,,,292.36,,C17H12N2OS,"10.1021/cr400552x
    10.1055/s-2003-40640",0
68,69,Cc5ccc(Sc2cc(=O)c4nc1ccccc1c3ccnc2c34)cc5,,Active,Leishmania,Extracellular,,5.4,,,354.43,,C22H14N2OS,"10.1021/cr400552x
    10.1055/s-2003-40640",0
69,70,Nc2cc(=O)c4nc1ccccc1c3ccnc2c34,,Active,Leishmania,Extracellular,,5.7,,,247.26,,C15H9N3O,"10.1021/cr400552x
    10.1055/s-2003-40640",0
70,71,O=c3c1ccccc1c5nccc4c2ccccc2nc3c45,,Active,Leishmania,Extracellular,,6.8,,,282.3,,C19H10N2O,"10.1021/cr400552x
    10.1055/s-2003-40640",0
71,72,O=c3c1cccnc1c5nccc4c2ccccc2nc3c45,,Active,Leishmania,Extracellular,,8.7,,,283.29,,C18H9N3O,"10.1021/cr400552x
    10.1055/s-2003-40640",0
72,73,CCCCCCCCC[C@@H]1C[C@@H]2CC[C@@H]3N2C(=N1)N[C@@H]([C@@H]3C(=O)O[C@H](C)CCCCCCC[C@@H]4C[C@@H]5CC[C@H]6N5C(=N4)N[C@H](C6)C)C,"batzelladine L
",Active,Leishmania,Extracellular,,1.9,,,653.0,"Jamaican sponge Monanchora
unguifera",C39H68N6O2,10.1021/cr400552x,0
73,74,CCCCCCC[C@@H]1C[C@@H]2CCC3=C(C(N=C(N23)N1)C)C(=O)OCCCCCCC[C@@H]4C[C@@H]5CC[C@H]6N5C(=N4)N[C@H](C6)C,batzelladine M,Active,Leishmania,Extracellular,,8.5,,,594.87,"Jamaican sponge Monanchora
unguifera",C35H58N6O2,10.1021/cr400552x,0
74,75,[H][C@@H]5CCC[C@@]2(N/C3=N/[C@]1(CC/C=C\[C@H](CC)O1)C[C@]4([H])CC[C@]([H])([C@@H]2C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)C[C@@H](C)CCN)N34)O5,ptilomycalin A,Active,Leishmania,Extracellular,,5.9,,,785.15,"Jamaican sponge Monanchora
unguifera",C45H80N6O5,10.1021/cr400552x,0
75,76,[H][C@]34CC[C@]5([H])[C@H](C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)C[C@@H](C)CCN)[C@]1(CCC[C@@H](O)O1)N/C(=N/[C@]2(CC/C=C\[C@H](CC)O2)C3)N45,crambescidine,Active,Leishmania,Extracellular,,6.8,,,801.17,"Jamaican sponge Monanchora
unguifera",C45H80N6O6,10.1021/cr400552x,0
76,77,CCCCCCCC[C@H]1C[C@]3(C)CC/C2=C(C(=O)OCCCCNC(=N)N)/C(CCCCC)/N=C(N1)\N23,batzelladine C,Active,Leishmania,Extracellular,,5.5,,,516.78,"Jamaican sponge Monanchora
unguifera",C29H52N6O2,10.1021/cr400552x,0
77,78,CCCCCCCC[C@H]1C[C@]3(C)CCc2c(C(=O)OCCCCNC(=N)N)c(CCCCC)nc(=N1)n23,dehydrobatzelladine C,Active,Leishmania,Extracellular,,5.7,,,486.69,"Jamaican sponge Monanchora
unguifera",C27H46N6O2,10.1021/cr400552x,0
78,79,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])(O)[C@@H](NC(=O)/C=C/C)[C@@]([H])(O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,,Active,Leishmania,Extracellular,,52.74,,,460.7,Nepalese species Sarcococca hookeriana,C28H48N2O3,"10.1021/cr400552x;
    10.1080/14786410701192736",0
79,80,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])(OC(C)=O)[C@@H](NC(=O)/C=C/C)[C@]([H])(O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,,Active,Leishmania,Extracellular,,0.2,,,502.74,Nepalese species Sarcococca hookeriana,C30H50N2O4,"10.1021/cr400552x;
    10.1080/14786410701192736",0
80,81,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])([H])[C@@H](NC(=O)/C=C/C)[C@@]([H])(OC(C)=O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,,Active,Leishmania,Extracellular,,3.78,,,486.74,Nepalese species Sarcococca hookeriana,C30H50N2O3,"10.1021/cr400552x;
    10.1080/14786410701192736

",0
81,82,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C=O)[C@@]1(C)CC[C@@]23[H])[C@]([H])([H])[C@H]4NCC(=O)/C=C(C)/C(C)C,,Active,Leishmania,Extracellular,,6.49,,,498.8,Nepalese species Sarcococca hookeriana,C32H54N2O2,"10.1021/cr400552x;
    10.1080/14786410701192736",0
82,83,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])([H])[C@@H](NC(=O)/C=C/C)[C@@]([H])(OC(C)=O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,,Active,Leishmania,Extracellular,,3.36,,,486.74,Nepalese species Sarcococca hookeriana,C30H50N2O3,"10.1021/cr400552x;
    10.1080/14786410701192736",0
83,84,[H][C@H]4C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CCC([C@]([H])(C)NC)C1(C)CC[C@@]23[H])[C@@]([H])(O)[C@H]4NC(=O)/C(C)=C/C,,Active,Leishmania,Extracellular,,2.29,,,430.68,Nepalese species Sarcococca hookeriana,C27H46N2O2,"10.1021/cr400552x;
    10.1080/14786410701192736",0
84,85,[H][C@H]4C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)NC)[C@@]1(C)CC[C@@]23[H])[C@@]([H])(O)[C@H]4NC(=O)/C(C)=C/C,,Active,Leishmania,Extracellular,,3.27,,,444.7,Nepalese species Sarcococca hookeriana,C28H48N2O2,"10.1021/cr400552x;
    10.1080/14786410701192736",0
85,86,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@@]([H])([H])[C@H]4NC,,Active,Leishmania,Extracellular,,2,,,374.66,Nepalese species Sarcococca hookeriana,C25H46N2,"10.1021/cr400552x;
    10.1080/14786410701192736",0
86,87,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@]([H])(O)[C@H]4O,,Active,Leishmania,Extracellular,,55.33,,,377.61,Nepalese species Sarcococca hookeriana,C24H43NO2,"10.1021/cr400552x;
    10.1080/14786410701192736",0
87,88,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@@]([H])([H])[C@H]4N,,Active,Leishmania,Extracellular,,3.41,,,360.63,Nepalese species Sarcococca hookeriana,C24H44N2,"10.1021/cr400552x,
    10.1080/14786410701192736",0
88,89,[H]C1([H])C[C@@]2(C)[C@@]([H])(CC[C@@]3([H])[C@]4([H])CCC(CC([H])(C)N(C)C)[C@@]4(C)CC[C@]23[H])C([H])([H])[C@H]1N(C)C,,Active,Leishmania,Extracellular,,13,,,388.68,Nepalese species Sarcococca hookeriana,C26H48N2,"10.1021/cr400552x;
    10.1080/14786410701192736",0
89,90,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@@]([H])([H])[C@H]4NC,,Active,Leishmania,Extracellular,,3.44,,,374.66,Nepalese species Sarcococca hookeriana,C25H46N2,"10.1021/cr400552x;
    10.1080/14786410701192736",0
