,smiles,common_name,IC50micromol,IC50microgML,formula,weight,origin,nature,family,sub_family,active_or_inactive,refs
13,COc1ccc3c(c1)cc5NCCc4cc2OCOc2c3c45,"Xylopine  
",3 ±0.27,,C18H17NO3,295.3325,Guatteria amplifolia,natural,alkaloid,isoquinoline alkaloid,active,;10.1021/cr400552x; 10.1055/s-2003-41126
14,COc1ccc3c(c1)cc5NCCc4cc2OCOc2c3c45,"Xylopine  
",6 ±0.07,,C18H17NO3,295.3325,Guatteria amplifolia,natural,alkaloid,isoquinoline alkaloid,active,;10.1021/cr400552x; 10.1055/s-2003-41126
15,COc1ccc3c(c1)cc5NCCc4cc2OCOc2c3c45,"Xylopine  
",112 ±0.2,,C18H17NO3,295.3325,Guatteria amplifolia,natural,alkaloid,isoquinoline alkaloid,active,;10.1021/cr400552x; 10.1055/s-2003-41126
16,COc1cc2c3c(c1OC)-c4ccccc4C[C@@H]3NCC2,nornuciferine,14 ±1.0,,C18H19NO2,281.349,Guatteria amplifolia,natural, alkaloid,isoquinoline alkaloid,active,10.1021/cr400552x; 10.1055/s-2003-41126
17,COc1cc2c3c(c1OC)-c4ccccc4C[C@@H]3NCC2,nornuciferine,28 ±11.3,,C18H19NO2,281.349,Guatteria amplifolia,natural, alkaloid,isoquinoline alkaloid,active,10.1021/cr400552x; 10.1055/s-2003-41126
18,COc1cc2c3c(c1OC)-c4ccccc4C[C@@H]3NCC2,nornuciferine,> 40,,C18H19NO2,281.349,Guatteria amplifolia,natural, alkaloid,isoquinoline alkaloid,active,10.1021/cr400552x; 10.1055/s-2003-41126
19,COc1cc2c3c(c1OC)-c4cc5c(cc4CC3NCC2)OCO5,"nornantenine
",24 ±0.03,,C19H19NO4,325.358,Guatteria dumetorum,natural,alkaloid,isoquinoline alkaloid,active,10.1021/cr400552x;10.1055/s-2003-41126
20,COc1cc2c3c(c1OC)-c4cc5c(cc4CC3NCC2)OCO5,"nornantenine
",15 ±0.45,,C19H19NO4,325.358,Guatteria dumetorum,natural,alkaloid,isoquinoline alkaloid,active,10.1021/cr400552x;10.1055/s-2003-41126
21,COc1cc2c3c(c1OC)-c4cc5c(cc4CC3NCC2)OCO5,"nornantenine
",> 40,,C19H19NO4,325.358,Guatteria dumetorum,natural,alkaloid,isoquinoline alkaloid,active,10.1021/cr400552x;10.1055/s-2003-41126
22,COc4cc(OC)c3c[n+]2CCc1cc(O)c(OC)cc1c2cc3c4 ,,,,C20H20NO4,338.38300000000004,stem bark of Tinospora sinensis,natural,alkaloid,isoquinoline alkaloid,inactive,10.1021/cr400552x; 10.1080/14786410802682239
23,COc4cc(OC)c3c[n+]2CCc1cc(O)c(OC)cc1c2cc3c4 ,,,,C20H20NO4,338.38300000000004,stem bark of Tinospora sinensis,natural,alkaloid,isoquinoline alkaloid,inactive,10.1021/cr400552x; 10.1080/14786410802682239
24,COc4cc3C[C@H](C)[N+](c1ccc(OC)c2c(OC)cc(C)cc12)=C(C)c3c(OC)c4 ,"ancistrocladinium A 
",4.90 ±2.93,2.61,C26H30NO4+,420.5290000000002,Ancistrocladus ealaensis (Ancistrocladaceae),natural,alkaloid,naphthylisoquinoline alkaloid,active,10.1021/cr400552x; 10.1128/AAC.00936-06
25,COc4cc3C[C@H](C)[N+](c1ccc(OC)c2c(OC)cc(C)cc12)=C(C)c3c(OC)c4 ,"ancistrocladinium A 
",31.76 ±4.75,,C26H30NO4+,420.5290000000002,Ancistrocladus ealaensis (Ancistrocladaceae),natural,alkaloid,naphthylisoquinoline alkaloid,active,10.1021/cr400552x; 10.1128/AAC.00936-06
28,COc2cc1C[C@H](C)N=C(C)c1c(OC)c2c4c(C)cc3cccc(OC)c3c4O ,ancistrocladidine,,2.9,C25H27NO4,405.486,Ancistrocladus tanzaniensis (Ancistrocladaceae),natural,alkaloid,naphthylisoquinoline alkaloid,active,10.1021/cr400552x
29,COc3cc(OC)c(c1ccc(OC)c2c(OC)cc(C)cc12)c4C[C@H](C)N=C(C)c34 ,ancistrotanzanine B,3.81,1.6,C26H29NO4,419.5128,,natural,Alkaloid,Naphthylisoquinoline Alkaloid,active,10.1021/cr400552x; 
30,COc3cc(OC)c(c2c(C)cc1cccc(OC)c1c2O)c4C[C@H](C)N=C(C)c34,ancistrotanazanine A,,1.6,C25H27NO4,405.4940000000002,Ancistrocladus tanzaniensis (Ancistrocladaceae),natural, alkaloid,naphthylisoquinoline alkaloid,active,10.1021/cr400552x
31,[H][C@]3(CC)CN2CCc1cc(O)c(OC)cc1[C@]2([H])C[C@]3([H])C[C@@]5(O)NCCc4cc(O)c(OC)cc45,klugine,,0.40,C27H36N2O5,468.585,Psychotria klugii,natural,alkaloid,benzoquinolizidine alkaloid,active,10.1021/cr400552x
32,[H][C@]3(CC)CN2CCc1cc(OC)c(OC)cc1[C@]2([H])C[C@]3([H])CC5NCCc4cc(O)c(OC)cc45,cephaeline,,0.03,C28H38N2O4,466.612,Psychotria klugii,natural,alkaloid,benzoquinolizidine alkaloid,active,10.1021/cr400552x
33,CN1CCc2cc(c3cc2C1Cc4ccc(c(c4)-c5cc(ccc5O)CC6c7c(cc(c(c7O3)OC)OC)CCN6C)OC)OC,"funiferine 
",0.53 ±0.09,,C38H42N2O6,622.7620000000001,Triclisia patens,natural,alkaloid,benzoquinolizidine alkaloid,active,10.1021/cr400552x; 10.1002/ptr.929 
34,[H][C@@]46Cc1ccc(OC)c(c1)c2cc(ccc2O)C[C@@]7([H])c3c(cc(OC)c(O)c3Oc5cc4c(cc5OC)CCN6C)CCN7C,tiliageine,0.79 ±0.05,,C37H40N2O6,608.735,Triclisia patens,natural,alkaloid,benzoquinolizidine alkaloid,active,10.1021/cr400552x; 10.1002/ptr.929 
35,CN1CCc2cc(c3cc2[C@H]1Cc4ccc(c(c4)Oc5ccc(cc5)C[C@H]6c7c(cc(c(c7O3)OC)OC)CCN6C)O)OC,oxyacanthine,0.68 ±0.16,,C37H40N2O6,608.723,Triclisia patens,natural,alkaloid,benzoquinolizidine alkaloid,active,10.1021/cr400552x; 10.1002/ptr.929 
36,CN1CCc2cc(c3cc2[C@@H]1Cc4ccc(cc4)Oc5cc(ccc5OC)C[C@H]6c7c(cc(c(c7O3)O)OC)CCN6C)OC,fangchinoline,0.39,,C37H40N2O6,608.723,Triclisia patens,natural,alkaloid,benzoquinolizidine alkaloid,active,10.1021/cr400552x; 10.1002/ptr.929 
37,[H][C@]34Cc1ccc(OC)c(c1)Oc2ccc(cc2)C[C@@]8([H])c6c(cc(OC)c7oc5cc(CCN3C)c4cc5oc67)CCN8C,isotriboline,0.57 ±0.01,,C36H36N2O5,576.6930000000002,Psychotria klugii,natural,alkaloid,benzoquinolizidine alkaloid,active,10.1021/cr400552x; 10.1002/ptr.929 
38,[H][C@@]13CC4CCC1([C@H](C)CC2[C@@](C)(CI)C(=O)N(CCOC(C)=O)CC23CC)[C@H](OC(C)=O)C4=C,,33.7,,C27H40INO5,585.5230000000003,Aconitum sp,natural,alkaloid,diterpene alkaloid,active,10.1021/cr400552x
39,[H][C@@]13CC4CCC1([C@H](C)CC2[C@@](C)(CI)C(=O)N(CCOC(C)=O)CC23CC)[C@H](OC(C)=O)C4=C,,162.3,,C27H40INO5,585.5230000000003,Aconitum sp,natural,alkaloid,diterpene alkaloid,active,10.1021/cr400552x
40,C=C[C@]7(C)[C@@H](OC1OCC(OS)C(O)C1OC2OC(C)C(O)C(O)C2O)CC[C@]8(C)C6=CC(O)C45C(=O)O[C@@](C)(C3CCC(C)(C)O3)[C@@]4(O)CC[C@@]5(C)C6CCC78 ,azitine,27.9,,C20H29NO,299.45,Aconitum sp,natural,alkaloid,diterpene alkaloid,active,10.1021/cr400552x
41,C=C[C@]7(C)[C@@H](OC1OCC(OS)C(O)C1OC2OC(C)C(O)C(O)C2O)CC[C@]8(C)C6=CC(O)C45C(=O)O[C@@](C)(C3CCC(C)(C)O3)[C@@]4(O)CC[C@@]5(C)C6CCC78 ,azitine,,,C20H29NO,299.45,Aconitum sp,natural,alkaloid,diterpene alkaloid,inactive,10.1021/cr400552x
42,[H][C@@]13CC5CCC1([C@H](C)CC2[C@]4(C)/C=N\CC23CCC4)[C@H](O)C5=C,isoazitine,24.6,,C21H31NO,313.48500000000007,Aconitum sp,natural,alkaloid,diterpene alkaloid,active,10.1021/cr400552x
43,[H][C@@]13CC5CCC1([C@H](C)CC2[C@]4(C)/C=N\CC23CCC4)[C@H](O)C5=C,isoazitine,,,C21H31NO,313.48500000000007,Aconitum sp,natural,alkaloid,diterpene alkaloid,inactive,10.1021/cr400552x
44,C[N@@+]2(C)[I+]C[C@H](OC(=O)/C=C/c1ccc(O)cc1)C[C@H]2C(=O)[O-],pyrrolidinium derivative,,9.1,C16H19INO5+,432.23400000000015,Phlomis brunneogaleata of the family Lamiaceae,natural,Alkaloid,Pyrrolidinium Alkaloid,active,10.1021/cr400552x   
45,Cn1c2ccccc2c(=O)c3c1c4c(cc3O)O[C@@H](C4)[C@](CO)(C(=O)OC)O,rhodesiacridone,10,,C20H19NO7,385.367,Thamnosma rhodesica,natural,Alkaloid,acridone alkaloid,active,10.1021/cr400552x
46,Cn1c2ccccc2c(=O)c3c1c4c(cc3O)O[C@@H](C4)[C@](CO)(C(=O)OC)O,rhodesiacridone,10,,C20H19NO7,385.367,Thamnosma rhodesica,natural,Alkaloid,acridone alkaloid,active,10.1021/cr400552x
47,Cn1c2ccccc2c(=O)c3c1c4c(cc3O)O[C@@H](C4)[C@](CO)(C(=O)OC)O,rhodesiacridone,,,C20H19NO7,385.367,Thamnosma rhodesica,natural,Alkaloid,acridone alkaloid,inactive,10.1021/cr400552x
48,CC(CO)(C1Cc2c(cc(c3c2n(c4ccccc4c3=O)C)O)O1)O,gravacridonediol,10,,C19H19NO5,341.358,Thamnosma rhodesica,natural,alkaloid,acridone alkaloid,active,10.1021/cr400552x
49,CC(CO)(C1Cc2c(cc(c3c2n(c4ccccc4c3=O)C)O)O1)O,gravacridonediol,1,,C19H19NO5,341.358,Thamnosma rhodesica,natural,alkaloid,acridone alkaloid,active,10.1021/cr400552x
50,CC(CO)(C1Cc2c(cc(c3c2n(c4ccccc4c3=O)C)O)O1)O,gravacridonediol,1,,C19H19NO5,341.358,Thamnosma rhodesica,natural,alkaloid,acridone alkaloid,active,10.1021/cr400552x
51,Cn1c2ccccc2c(=O)c3c1c(c(c(c3O)OC)OC)OC,normelicopicine,,1.08, C17H17NO5,315.321,Teclea trichocarpa,natural,alkaloid,acridone alkaloid,active,10.1021/cr400552x
52,Cn1c2ccccc2c(=O)c3c1cc(c(c3O)OC)OC,arborinine,,5.20,C16H15NO4,285.295,Teclea trichocarpa,natural,alkaloid,acridone alkaloid,active,10.1021/cr400552x
53,c1ccc2c(c1)c3ccnc4c3n2c(=O)cc4," 
",,,C14H8N2O,220.226,,natural,alkaloid,beta-carboline alkaloid,inactive,10.1021/cr400552x
54,COc1cc2c3c(ccn2)c4ccccc4n3c1=O,,,,C15H10N2O2,250.252,,natural,alkaloid,beta-carboline alkaloid,inactive,10.1021/cr400552x
55,c1ccc2c(c1)c3c([nH]2)[C@]45C[C@@H]6[C@H]([C@H](O4)CN5CC3)[C@H](OC=C6C(=O)O)OC7[C@H]([C@@H]([C@H]([C@@H](O7)CO)O)O)O,cadambine acid,1.2,,C26H30N2O10,530.524,Nauclea diderrichii,natural,alkaloid,beta-carboline alkaloid,active,10.1021/cr400552x
56,c1ccc2c(c1)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC/C=C\[C@H]8C7)O,manzamine A,1.64,0.9,C36H44N4O,548.761,Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,active,10.1021/cr400552x;10.1016/j.bmc.2013.11.048
57,c1cc2c3ccnc(c3[nH]c2c(c1)O)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC/C=C\[C@H]8C7)O,8-hydroxymanzamine A,10.97,,C36H44N4O2,564.76,Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,active,10.1021/cr400552x;10.1016/j.bmc.2013.11.048
58,c1ccc2c(c1)c3cc[n+](c(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC/C=C\[C@H]8C7)O)[O-],"manzamine A N-oxide 
",1.94,1.1,C36H44N4O2,564.76,Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,active,10.1021/cr400552x;10.1016/j.bmc.2013.11.048
59,c1ccc2c(c1)c3cc[nH+]c(c3[nH]2)C4=C[C@]5(CC/C=C\CCCC[NH+]6CC[C@H]4[C@]7(C6)[C@H]5N8CCCC(=O)CC[C@H]8C7)O,manzamine E,,6.72,C36H44N4O2	,566.7900000000004,Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,active,10.1021/cr400552x;10.1016/j.bmc.2013.11.048
60,c1cc2c(cc1O)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC(=O)CC[C@H]8C7)O,6-hydroxymanzamine E,4.30,,C36H44N4O3,580.76,the Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,active,10.1021/cr400552x;10.1016/j.bmc.2013.11.048
61,c1cc2c3ccnc(c3[nH]c2c(c1)O)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC(=O)CC[C@H]8C7)O,manzamine F,7.23,,C36H44N4O3,580.76,the Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,active,0.1021/cr400552x;10.1016/j.bmc.2013.11.048
62,c1ccc2c(c1)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5NCCCC/C=C\CC7)O,manzamine J,45.39,,C36H46N4O,550.777,Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,active,10.1021/cr400552x;10.1016/j.bmc.2013.11.048
63,O[C@@]13/C=C(/CO)[C@H]5CCN(CCCC\C=C/CC1)C[C@@]45C[C@H]2/C=C\CCCCN2[C@H]34,ircinol A,2.18,0.9,C26H40N2O2,412.608,Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,active,10.1021/cr400552x;10.1016/j.bmc.2013.11.048
64,C1CCN2CC[C@H]3C(=C[C@@](CC/C=C\C1)([C@H]4[C@]3(C2)C[C@H]/5N4CCCC/C=C5)O)C=O,"ircinal A 
",0.9-6.2,,C26H38N2O2,410.592,Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,active,10.1021/cr400552x
65,c1cc2c(cc1O)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCC[C@@H]9CC[C@@]8(C7)O9)O,manzamine X,,0.9-6.2,C36H44N4O3,580.76,Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,active,10.1021/cr400552x
66,c1ccc2c(c1)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCC[C@@H]9CC[C@@]8(C7)O9)O,6-deoxymanzamine X,,0.9-6.2,C36H44N4O2,564.76,Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,active,10.1021/cr400552x
67,C1CCN2CC[C@H]3C(=C[C@@](CC/C=C\C1)([C@H]4[C@]3(C2)C[C@H]/5N4CCCC/C=C5)O)C6=NC=CC7=C6NC8=C7C=C(C=C8)O,manzamine Y,,1.6,C36H44N4O2,564.76,Indonesian sponge Acanthostrongylophora sp.,natural,alkaloid,manzamine alkaloid,active,10.1021/cr400552x    
68,[H][C@]/7(CC[C@]1([H])NCCc2c1[nH]c3ccccc23)C[C@@]6([H])c5[nH]c4ccc(C(C)=O)cc4c5CCN6CC7=C\C,ramiflorine A,,,C32H36N4O,492.66700000000037,Aspidosperma ramiflorum (Apocynaceae),natural,alkaloid,indole alkaloid,inactive,10.1021/cr400552x
69,[H][C@]/7(CC[C@]1([H])NCCc2c1[nH]c3ccccc23)C[C@@]6([H])c5[nH]c4ccc(C(C)=O)cc4c5CCN6CC7=C\C,ramiflorine B,,,C32H36N4O,492.66700000000037,Aspidosperma ramiflorum (Apocynaceae),natural,alkaloid,indole alkaloid,inactive,10.1021/cr400552x
70,Cc3c1ccccc1nc4c(=O)c2ccccc2c(=O)c34,,,0.78,C18H11NO2,273.291,,natural,alkaloid,pyridoacridinone alkaloid,active,"10.1021/cr400552x;
10.1055/s-2003-40640 
    "
71,CN(C)/C=C/c3c1ccccc1nc4c(=O)c2ccccc2c(=O)c34,,,1.70,C21H16N2O2,328.3710000000001,,natural,alkaloid,pyridoacridinone alkaloid,active,"10.1021/cr400552x;
    10.1055/s-2003-40640"
72,CN(C)CCc3c1ccccc1nc4c(=O)c2ccccc2c(=O)c34,,,1.90,C21H18N2O2,330.38700000000006,,natural,alkaloid,pyridoacridinone alkaloid,active,"10.1021/cr400552x
    10.1055/s-2003-40640"
73,CCSc2cc(=O)c4nc1ccccc1c3ccnc2c34,,,3.40,C17H12N2OS,292.36300000000006,,natural,alkaloid,pyridoacridinone alkaloid,active,"10.1021/cr400552x
    10.1055/s-2003-40640"
74,Cc5ccc(Sc2cc(=O)c4nc1ccccc1c3ccnc2c34)cc5,,,5.40,C22H14N2OS,354.4340000000001,,natural, alkaloid,pyridoacridinone alkaloid,active,"10.1021/cr400552x
    10.1055/s-2003-40640"
75,Nc2cc(=O)c4nc1ccccc1c3ccnc2c34,,,5.70,C15H9N3O,247.257,,natural,alkaloid,pyridoacridinone alkaloid,active,"10.1021/cr400552x
    10.1055/s-2003-40640"
76,O=c3c1ccccc1c5nccc4c2ccccc2nc3c45,,,6.80,C19H10N2O,282.302,,natural,alkaloid,pyridoacridinone alkaloid,active,"10.1021/cr400552x
    10.1055/s-2003-40640"
77,O=c3c1cccnc1c5nccc4c2ccccc2nc3c45,,,8.70,C18H9N3O,283.29,,natural,alkaloid,pyridoacridinone alkaloid,active,"10.1021/cr400552x
    10.1055/s-2003-40640"
78,CCCCCCCCC[C@@H]1C[C@@H]2CC[C@@H]3N2C(=N1)N[C@@H]([C@@H]3C(=O)O[C@H](C)CCCCCCC[C@@H]4C[C@@H]5CC[C@H]6N5C(=N4)N[C@H](C6)C)C,"batzelladine L
",,1.9,C39H68N6O2,652.996,"Jamaican sponge Monanchora
unguifera",natural,alkaloid,batzelladine alkaloid,active,10.1021/cr400552x
79,CCCCCCC[C@@H]1C[C@@H]2CCC3=C(C(N=C(N23)N1)C)C(=O)OCCCCCCC[C@@H]4C[C@@H]5CC[C@H]6N5C(=N4)N[C@H](C6)C, batzelladine M,,8.5,C35H58N6O2,594.874,"Jamaican sponge Monanchora
unguifera",natural,alkaloid,batzelladine alkaloid,active,10.1021/cr400552x
80,[H][C@@H]5CCC[C@@]2(N/C3=N/[C@]1(CC/C=C\[C@H](CC)O1)C[C@]4([H])CC[C@]([H])([C@@H]2C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)C[C@@H](C)CCN)N34)O5,ptilomycalin A,,5.9,C45H80N6O5,785.1539,"Jamaican sponge Monanchora
unguifera",natural,alkaloid,batzelladine alkaloid,active,10.1021/cr400552x
81,[H][C@]34CC[C@]5([H])[C@H](C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)C[C@@H](C)CCN)[C@]1(CCC[C@@H](O)O1)N/C(=N/[C@]2(CC/C=C\[C@H](CC)O2)C3)N45,crambescidine,,6.8,C45H80N6O6,801.1709999999999,"Jamaican sponge Monanchora
unguifera",natural,alkaloid,batzelladine alkaloid,active,10.1021/cr400552x
82,CCCCCCCC[C@H]1C[C@]3(C)CC/C2=C(C(=O)OCCCCNC(=N)N)/C(CCCCC)/N=C(N1)\N23,batzelladine C,,5.5,C29H52N6O2,516.7750000000003,"Jamaican sponge Monanchora
unguifera",natural,alkaloid,batzelladine alkaloid,active,10.1021/cr400552x
83,CCCCCCCC[C@H]1C[C@]3(C)CCc2c(C(=O)OCCCCNC(=N)N)c(CCCCC)nc(=N1)n23,dehydrobatzelladine C,,5.7,C27H46N6O2,486.693,"Jamaican sponge Monanchora
unguifera",natural,alkaloid,batzelladine alkaloid,active,10.1021/cr400552x
84,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])(O)[C@@H](NC(=O)/C=C/C)[C@@]([H])(O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,,,52.74,C28H48N2O3,460.7030000000003,Nepalese species Sarcococca hookeriana,natural,alkaloid,steroidal alkaloid,active,"10.1021/cr400552x;
    10.1080/14786410701192736"
85,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])(OC(C)=O)[C@@H](NC(=O)/C=C/C)[C@]([H])(O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,,,0.20,C30H50N2O4,502.74000000000035,Nepalese species Sarcococca hookeriana,natural,alkaloid,steroidal alkaloid,active,"10.1021/cr400552x;
    10.1080/14786410701192736"
86,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])([H])[C@@H](NC(=O)/C=C/C)[C@@]([H])(OC(C)=O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,,,3.78,C30H50N2O3,486.7410000000004,Nepalese species Sarcococca hookeriana,natural,Alkaloid,Steroidal Alkaloid,active,"10.1021/cr400552x;
    10.1080/14786410701192736

"
87,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C=O)[C@@]1(C)CC[C@@]23[H])[C@]([H])([H])[C@H]4NCC(=O)/C=C(C)/C(C)C,,,6.49,C32H54N2O2,498.79600000000033,Nepalese species Sarcococca hookeriana,natural,Alkaloid,Steroidal Alkaloid,active,10.1021/cr400552x;     10.1080/14786410701192736
88,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])([H])[C@@H](NC(=O)/C=C/C)[C@@]([H])(OC(C)=O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,,,3.36,C30H50N2O3,486.7410000000004,Nepalese species Sarcococca hookeriana,natural,alkaloid,steroidal alkaloid,active,"10.1021/cr400552x;
    10.1080/14786410701192736"
89,[H][C@H]4C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CCC([C@]([H])(C)NC)C1(C)CC[C@@]23[H])[C@@]([H])(O)[C@H]4NC(=O)/C(C)=C/C,,,2.29,C27H46N2O2,430.6770000000002,Nepalese species Sarcococca hookeriana,natural,alkaloid,steroidal alkaloid,active,"10.1021/cr400552x;
    10.1080/14786410701192736"
91,[H][C@H]4C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)NC)[C@@]1(C)CC[C@@]23[H])[C@@]([H])(O)[C@H]4NC(=O)/C(C)=C/C,,,3.27,C28H48N2O2,444.7040000000002,Nepalese species Sarcococca hookeriana,natural,alkaloid,steroidal alkaloid,active,"10.1021/cr400552x;
    10.1080/14786410701192736"
92,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@@]([H])([H])[C@H]4NC,,,2,C25H46N2,374.65700000000015,Nepalese species Sarcococca hookeriana,natural,alkaloid,Steroidal Alkaloid,active,"10.1021/cr400552x;
    10.1080/14786410701192736"
