,smiles,chemical_name,common_name,formula,weight,origin,nature,family,sub_family,active_or_inactive,refs
25,[H][C@@]13CC4CCC1([C@H](C)CC2[C@@](C)(CI)C(=O)N(CCOC(C)=O)CC23CC)[C@H](OC(C)=O)C4=C,"15,22-O-diacetyl-19-oxo-dihydroatisine",,C27H40INO5,585.5230000000003,Aconitum sp,natural,alkaloid,diterpene alkaloid,,10.1021/cr400552x
26,C=C[C@]7(C)[C@@H](OC1OCC(OS)C(O)C1OC2OC(C)C(O)C(O)C2O)CC[C@]8(C)C6=CC(O)C45C(=O)O[C@@](C)(C3CCC(C)(C)O3)[C@@]4(O)CC[C@@]5(C)C6CCC78 ,"(15beta)-4-Methylatida-16,20-dien-15-ol",azitine,C20H29NO,299.45,Aconitum sp,natural,alkaloid,diterpene alkaloid,,10.1021/cr400552x
27,[H][C@@]13CC5CCC1([C@H](C)CC2[C@]4(C)/C=N\CC23CCC4)[C@H](O)C5=C,,isoazitine,C21H31NO,313.48500000000007,Aconitum sp,natural,alkaloid,diterpene alkaloid,,10.1021/cr400552x
28,C[N@@+]2(C)[I+]C[C@H](OC(=O)/C=C/c1ccc(O)cc1)C[C@H]2C(=O)[O-],"(2S,4R)-2-carboxy-4-(E)-p-coumaroyloxy-1,1-dimethylpyrrolidinium",pyrrolidinium derivative,C16H19INO5+,432.23400000000015,Phlomis brunneogaleata of the family Lamiaceae,natural,Alkaloid,Pyrrolidinium Alkaloid,,10.1021/cr400552x   
29,Cn1c2ccccc2c(=O)c3c1c4c(cc3O)O[C@@H](C4)[C@](CO)(C(=O)OC)O,"Methyl (2R)-2,3-dihydroxy-2-[(2S)-5-hydroxy-11-methyl-6-oxo-1,2,6,11-tetrahydrofuro[2,3-c]acridin-2-yl]propanoate",rhodesiacridone,C20H19NO7,385.367,Thamnosma rhodesica,natural,Alkaloid,acridone alkaloid,,10.1021/cr400552x
30,CC(CO)(C1Cc2c(cc(c3c2n(c4ccccc4c3=O)C)O)O1)O,"2-(1,2-Dihydroxy-2-propanyl)-5-hydroxy-11-methyl-1,11-dihydrofuro[2,3-c]acridin-6(2H)-one",gravacridonediol,C19H19NO5,341.358,Thamnosma rhodesica,natural,alkaloid,acridone alkaloid,,10.1021/cr400552x
31,Cn1c2ccccc2c(=O)c3c1c(c(c(c3O)OC)OC)OC," 1-Hydroxy-2,3,4-trimethoxy-10-methyl-9(10H)-acridinone

   ",normelicopicine, C17H17NO5,315.321,Teclea trichocarpa,natural,alkaloid,acridone alkaloid,,10.1021/cr400552x
32,Cn1c2ccccc2c(=O)c3c1cc(c(c3O)OC)OC,"1-Hydroxy-2,3-dimethoxy-10-methyl-9(10H)-acridinone

    ",arborinine,C16H15NO4,285.295,Teclea trichocarpa,natural,alkaloid,acridone alkaloid,,10.1021/cr400552x
33,c1ccc2c(c1)c3ccnc4c3n2c(=O)cc4,canthin-6-one," 
",C14H8N2O,220.226,,natural,alkaloid,beta-carboline alkaloid,,10.1021/cr400552x
34,COc1cc2c3c(ccn2)c4ccccc4n3c1=O,5-methoxycanthin-6-one,,C15H10N2O2,250.252,,natural,alkaloid,beta-carboline alkaloid,,10.1021/cr400552x
35,c1ccc2c(c1)c3c([nH]2)[C@]45C[C@@H]6[C@H]([C@H](O4)CN5CC3)[C@H](OC=C6C(=O)O)OC7[C@H]([C@@H]([C@H]([C@@H](O7)CO)O)O)O,"(1S,15S,16R,17R,21R)-17-(L-Glucopyranosyloxy)-18,23-dioxa-3,13-diazahexacyclo[13.7.1.01,13.02,10.04,9.016,21]tricosa-2(10),4,6,8,19-pentaene-20-carboxylic acid",cadambine acid,C26H30N2O10,530.524,Nauclea diderrichii,natural,alkaloid,beta-carboline alkaloid,,10.1021/cr400552x
36,c1ccc2c(c1)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC/C=C\[C@H]8C7)O,,manzamine A,C36H44N4O,548.761,Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,,10.1021/cr400552x;10.1016/j.bmc.2013.11.048
37,c1cc2c3ccnc(c3[nH]c2c(c1)O)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC/C=C\[C@H]8C7)O,,8-hydroxymanzamine A,C36H44N4O2,564.76,Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,,10.1021/cr400552x;10.1016/j.bmc.2013.11.048
38,c1ccc2c(c1)c3cc[n+](c(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC/C=C\[C@H]8C7)O)[O-],"(1R,2R,4R,5Z,12R,13S,16Z)-25-(2-Oxido-9H-beta-carbolin-1-yl)-11,22-diazapentacyclo[11.11.2.1~2,22~.0~2,12~.0~4,11~]heptacosa-5,16,25-trien-13-ol","manzamine A N-oxide 
",C36H44N4O2,564.76,Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,,10.1021/cr400552x;10.1016/j.bmc.2013.11.048
39,c1ccc2c(c1)c3cc[nH+]c(c3[nH]2)C4=C[C@]5(CC/C=C\CCCC[NH+]6CC[C@H]4[C@]7(C6)[C@H]5N8CCCC(=O)CC[C@H]8C7)O,,manzamine E,C36H44N4O2	,566.7900000000004,Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,,10.1021/cr400552x;10.1016/j.bmc.2013.11.048
40,c1cc2c(cc1O)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC(=O)CC[C@H]8C7)O,,6-hydroxymanzamine E,C36H44N4O3,580.76,the Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,,10.1021/cr400552x;10.1016/j.bmc.2013.11.048
41,c1cc2c3ccnc(c3[nH]c2c(c1)O)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC(=O)CC[C@H]8C7)O,"(1R,2R,4S,12R,13S,16Z)-13-Hydroxy-25-(8-hydroxy-9H-beta-carbolin-1-yl)-11,22-diazapentacyclo[11.11.2.1~2,22~.0~2,12~.0~4,11~]heptacosa-16,25-dien-7-one",manzamine F,C36H44N4O3,580.76,the Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,,0.1021/cr400552x;10.1016/j.bmc.2013.11.048
42,c1ccc2c(c1)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5NCCCC/C=C\CC7)O,,manzamine J,C36H46N4O,550.777,Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,,10.1021/cr400552x;10.1016/j.bmc.2013.11.048
43,O[C@@]13/C=C(/CO)[C@H]5CCN(CCCC\C=C/CC1)C[C@@]45C[C@H]2/C=C\CCCCN2[C@H]34,,ircinol A,C26H40N2O2,412.608,Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,,10.1021/cr400552x;10.1016/j.bmc.2013.11.048
44,C1CCN2CC[C@H]3C(=C[C@@](CC/C=C\C1)([C@H]4[C@]3(C2)C[C@H]/5N4CCCC/C=C5)O)C=O,,"ircinal A 
",C26H38N2O2,410.592,Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,,10.1021/cr400552x
45,c1cc2c(cc1O)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCC[C@@H]9CC[C@@]8(C7)O9)O,"(1R,2R,4S,7R,12R,13S,16Z)-25-(6-Hydroxy-9H-beta-carbolin-1-yl)-28-oxa-11,22-diazahexacyclo[11.11.2.1~2,22~.1~4,7~.0~2,12~.0~4,11~]octacosa-16,25-dien-13-ol",manzamine X,C36H44N4O3,580.76,Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,,10.1021/cr400552x
46,c1ccc2c(c1)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCC[C@@H]9CC[C@@]8(C7)O9)O,"(1R,2R,4S,7R,12R,13S,16Z)-25-(9H-beta-Carbolin-1-yl)-28-oxa-11,22-diazahexacyclo[11.11.2.1~2,22~.1~4,7~.0~2,12~.0~4,11~]octacosa-16,25-dien-13-ol",6-deoxymanzamine X,C36H44N4O2,564.76,Indonesian sponge Acanthostrongylophora sp,natural,alkaloid,manzamine alkaloid,,10.1021/cr400552x
47,C1CCN2CC[C@H]3C(=C[C@@](CC/C=C\C1)([C@H]4[C@]3(C2)C[C@H]/5N4CCCC/C=C5)O)C6=NC=CC7=C6NC8=C7C=C(C=C8)O,"(1R,2R,4R,5Z,12R,13S,16Z)-25-(6-Hydroxy-9H-beta-carbolin-1-yl)-11,22-diazapentacyclo[11.11.2.1~2,22~.0~2,12~.0~4,11~]heptacosa-5,16,25-trien-13-ol",manzamine Y,C36H44N4O2,564.76,Indonesian sponge Acanthostrongylophora sp.,natural,alkaloid,manzamine alkaloid,,10.1021/cr400552x    
48,[H][C@]/7(CC[C@]1([H])NCCc2c1[nH]c3ccccc23)C[C@@]6([H])c5[nH]c4ccc(C(C)=O)cc4c5CCN6CC7=C\C,,ramiflorine A,C32H36N4O,492.66700000000037,Aspidosperma ramiflorum (Apocynaceae),natural,alkaloid,indole alkaloid,,10.1021/cr400552x
49,[H][C@]/7(CC[C@]1([H])NCCc2c1[nH]c3ccccc23)C[C@@]6([H])c5[nH]c4ccc(C(C)=O)cc4c5CCN6CC7=C\C,,ramiflorine B,C32H36N4O,492.66700000000037,Aspidosperma ramiflorum (Apocynaceae),natural,alkaloid,indole alkaloid,,10.1021/cr400552x
50,Cc3c1ccccc1nc4c(=O)c2ccccc2c(=O)c34,,,C18H11NO2,273.291,,natural,alkaloid,pyridoacridinone alkaloid,,"10.1021/cr400552x;
10.1055/s-2003-40640 
    "
51,CN(C)/C=C/c3c1ccccc1nc4c(=O)c2ccccc2c(=O)c34,,,C21H16N2O2,328.3710000000001,,natural,alkaloid,pyridoacridinone alkaloid,,"10.1021/cr400552x;
    10.1055/s-2003-40640"
52,CN(C)CCc3c1ccccc1nc4c(=O)c2ccccc2c(=O)c34,,,C21H18N2O2,330.38700000000006,,natural,alkaloid,pyridoacridinone alkaloid,,"10.1021/cr400552x
    10.1055/s-2003-40640"
53,CCSc2cc(=O)c4nc1ccccc1c3ccnc2c34,,,C17H12N2OS,292.36300000000006,,natural,alkaloid,pyridoacridinone alkaloid,,"10.1021/cr400552x
    10.1055/s-2003-40640"
54,Cc5ccc(Sc2cc(=O)c4nc1ccccc1c3ccnc2c34)cc5,,,C22H14N2OS,354.4340000000001,,natural, alkaloid,pyridoacridinone alkaloid,,"10.1021/cr400552x
    10.1055/s-2003-40640"
55,Nc2cc(=O)c4nc1ccccc1c3ccnc2c34,,,C15H9N3O,247.257,,natural,alkaloid,pyridoacridinone alkaloid,,"10.1021/cr400552x
    10.1055/s-2003-40640"
56,O=c3c1ccccc1c5nccc4c2ccccc2nc3c45,,,C19H10N2O,282.302,,natural,alkaloid,pyridoacridinone alkaloid,,"10.1021/cr400552x
    10.1055/s-2003-40640"
57,O=c3c1cccnc1c5nccc4c2ccccc2nc3c45,,,C18H9N3O,283.29,,natural,alkaloid,pyridoacridinone alkaloid,,"10.1021/cr400552x
    10.1055/s-2003-40640"
58,CCCCCCCCC[C@@H]1C[C@@H]2CC[C@@H]3N2C(=N1)N[C@@H]([C@@H]3C(=O)O[C@H](C)CCCCCCC[C@@H]4C[C@@H]5CC[C@H]6N5C(=N4)N[C@H](C6)C)C,"(2R)-9-[(2aS,4R,7S,8aR)-7-Methyl-2,2a,3,4,5,7,8,8a-octahydro-1H-5,6,8b-triazaacenaphthylen-4-yl]-2-nonanyl (2aS,3S,4R,7R,8aS)-4-methyl-7-nonyl-2,2a,3,4,5,7,8,8a-octahydro-1H-5,6,8b-triazaacenaphthylen e-3-carboxylate","batzelladine L
",C39H68N6O2,652.996,"Jamaican sponge Monanchora
unguifera",natural,alkaloid,batzelladine alkaloid,,10.1021/cr400552x
59,CCCCCCC[C@@H]1C[C@@H]2CCC3=C(C(N=C(N23)N1)C)C(=O)OCCCCCCC[C@@H]4C[C@@H]5CC[C@H]6N5C(=N4)N[C@H](C6)C,"7-[(2aS,4R,7S,8aR)-7-Methyl-2,2a,3,4,5,7,8,8a-octahydro-1H-5,6,8b-triazaacenaphthylen-4-yl]heptyl (7R,8aS)-7-heptyl-4-methyl-2,4,5,7,8,8a-hexahydro-1H-5,6,8b-triazaacenaphthylene-3-carboxylate", batzelladine M,C35H58N6O2,594.874,"Jamaican sponge Monanchora
unguifera",natural,alkaloid,batzelladine alkaloid,,10.1021/cr400552x
60,[H][C@@H]5CCC[C@@]2(N/C3=N/[C@]1(CC/C=C\[C@H](CC)O1)C[C@]4([H])CC[C@]([H])([C@@H]2C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)C[C@@H](C)CCN)N34)O5,"16-[(4-Aminobutyl)(3-aminopropyl)amino]-16-oxohexadecyl (2R,2a'S,3'R,4'S,6''S,7R,8a'R)-7-ethyl-6''-methyl-1',2',2a',3',3'',4,4'',5'',6'',7,8',8a'-dodecahydro-3H,5'H-dispiro[oxepine-2,7'-[5,6,8b]triaza acenaphthylene-4',2''-pyran]-3'-carboxylate",ptilomycalin A,C45H80N6O5,785.1539,"Jamaican sponge Monanchora
unguifera",natural,alkaloid,batzelladine alkaloid,,10.1021/cr400552x
61,[H][C@]34CC[C@]5([H])[C@H](C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)C[C@@H](C)CCN)[C@]1(CCC[C@@H](O)O1)N/C(=N/[C@]2(CC/C=C\[C@H](CC)O2)C3)N45,,crambescidine,C45H80N6O6,801.1709999999999,"Jamaican sponge Monanchora
unguifera",natural,alkaloid,batzelladine alkaloid,,10.1021/cr400552x
62,CCCCCCCC[C@H]1C[C@]3(C)CC/C2=C(C(=O)OCCCCNC(=N)N)/C(CCCCC)/N=C(N1)\N23,,batzelladine C,C29H52N6O2,516.7750000000003,"Jamaican sponge Monanchora
unguifera",natural,alkaloid,batzelladine alkaloid,,10.1021/cr400552x
63,CCCCCCCC[C@H]1C[C@]3(C)CCc2c(C(=O)OCCCCNC(=N)N)c(CCCCC)nc(=N1)n23,"4-[(Diaminomethylene)amino]butyl (7S,8aR)-7-heptyl-4-pentyl-2,7,8,8a-tetrahydro-1H-5,6,8b-triazaacenaphthylene-3-carboxylate",dehydrobatzelladine C,C27H46N6O2,486.693,"Jamaican sponge Monanchora
unguifera",natural,alkaloid,batzelladine alkaloid,,10.1021/cr400552x
64,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])(O)[C@@H](NC(=O)/C=C/C)[C@@]([H])(O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,,,C28H48N2O3,460.7030000000003,Nepalese species Sarcococca hookeriana,natural,alkaloid,steroidal alkaloid,,"10.1021/cr400552x;
    10.1080/14786410701192736"
65,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])(OC(C)=O)[C@@H](NC(=O)/C=C/C)[C@]([H])(O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,,,C30H50N2O4,502.74000000000035,Nepalese species Sarcococca hookeriana,natural,alkaloid,steroidal alkaloid,,"10.1021/cr400552x;
    10.1080/14786410701192736"
66,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])([H])[C@@H](NC(=O)/C=C/C)[C@@]([H])(OC(C)=O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,,,C30H50N2O3,486.7410000000004,Nepalese species Sarcococca hookeriana,natural,Alkaloid,Steroidal Alkaloid,,"10.1021/cr400552x;
    10.1080/14786410701192736

"
67,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C=O)[C@@]1(C)CC[C@@]23[H])[C@]([H])([H])[C@H]4NCC(=O)/C=C(C)/C(C)C,,,C32H54N2O2,498.79600000000033,Nepalese species Sarcococca hookeriana,natural,Alkaloid,Steroidal Alkaloid,,10.1021/cr400552x;     10.1080/14786410701192736
68,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])([H])[C@@H](NC(=O)/C=C/C)[C@@]([H])(OC(C)=O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,,,C30H50N2O3,486.7410000000004,Nepalese species Sarcococca hookeriana,natural,alkaloid,steroidal alkaloid,,"10.1021/cr400552x;
    10.1080/14786410701192736"
69,[H][C@H]4C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CCC([C@]([H])(C)NC)C1(C)CC[C@@]23[H])[C@@]([H])(O)[C@H]4NC(=O)/C(C)=C/C,,,C27H46N2O2,430.6770000000002,Nepalese species Sarcococca hookeriana,natural,alkaloid,steroidal alkaloid,,"10.1021/cr400552x;
    10.1080/14786410701192736"
70,[H][C@H]4C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)NC)[C@@]1(C)CC[C@@]23[H])[C@@]([H])(O)[C@H]4NC(=O)/C(C)=C/C,,,C28H48N2O2,444.7040000000002,Nepalese species Sarcococca hookeriana,natural,alkaloid,steroidal alkaloid,,"10.1021/cr400552x;
    10.1080/14786410701192736"
71,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@@]([H])([H])[C@H]4NC,,,C25H46N2,374.65700000000015,Nepalese species Sarcococca hookeriana,natural,alkaloid,Steroidal Alkaloid,,"10.1021/cr400552x;
    10.1080/14786410701192736"
72,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@]([H])(O)[C@H]4O,,,C24H43NO2,377.6130000000001,Nepalese species Sarcococca hookeriana,natural,Alkaloid,Steroidal Alkaloid,,"10.1021/cr400552x;
    10.1080/14786410701192736"
73,[H][C@]4([H])C[C@@]3(C)[C@@]([H])(CC[C@@]2([H])[C@]1([H])CC[C@H](C[C@]([H])(C)N(C)C)[C@@]1(C)CC[C@@]23[H])[C@@]([H])([H])[C@H]4N,,,C24H44N2,360.63000000000017,Nepalese species Sarcococca hookeriana,natural,alkaloid,steroidal alkaloid,,"10.1021/cr400552x,
    10.1080/14786410701192736"
74,[H]C1([H])C[C@@]2(C)[C@@]([H])(CC[C@@]3([H])[C@]4([H])CCC(CC([H])(C)N(C)C)[C@@]4(C)CC[C@]23[H])C([H])([H])[C@H]1N(C)C	,,,C26H48N2,388.6840000000002,Nepalese species Sarcococca hookeriana,natural,alkaloid,steroidal alkaloid,,"10.1021/cr400552x;
    10.1080/14786410701192736"
