ID_compound,SMILES,Common_name,Biological Activity,Pathogen,Category,IC50 (µM),Experiment Type,IC50(µg/ml),CC50,Ki,EC50_invitro,EC50_viral,% Inhibition,Tested at [C],Molecular Weight,Origin,Formula,Family,Sub_family,Nature,Reference,ID_ref,PUBCHEM_CID
11,COc3cc2c(=O)c5nccc4cc1OCOc1c(c2cc3OC)c45,dicentrinona,Active,Leishmania,Extracellular,0.01,,,,,,,,,335.315,Duguetia furfuracea (Annonaceae),C19H13NO5,alkaloid,isoquinoline alkaloid,natural,"10.1021/cr400552x;
   10.1016/j.phymed.2009.03.019 ",7,
12,COc4ccc3CC2c1cc(OC)c(OC)cc1C=C[NH+]2Cc3c4OC,N-methylte-trahydropalmatine,Active,Leishmania,Extracellular,17.03,,,,,,,,,354.426,Duguetia furfuracea (Annonaceae),C21H24NO4+,alkaloid,isoquinoline alkaloid,natural,"10.1021/cr400552x;
   10.1016/j.phymed.2009.03.019 ",8,
13,COC1=CC2=C(CC1OC)c4c(OC)c(OC)cc3CC[N+](C)(C)C(C2)c34,N-methylglaucine,Active,Leishmania,Extracellular,4.88,,,,,,,,,372.485,Duguetia furfuracea (Annonaceae),C22H30NO4+,alkaloid,isoquinoline alkaloid,natural,"10.1021/cr400552x;
   10.1016/j.phymed.2009.03.019 ",9,
14,COc1ccc3c(c1)cc5NCCc4cc2OCOc2c3c45,"Xylopine  
",Active,Leishmania,Extracellular,3 ±0.27,,,,,,,,,293.322,Guatteria amplifolia,C18H15NO3,alkaloid,isoquinoline alkaloid,natural,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",10,
15,COc1ccc3c(c1)cc5NCCc4cc2OCOc2c3c45,"Xylopine  
",Active,Leishmania,Extracellular,6 ±0.07,,,,,,,,,293.322,Guatteria amplifolia,C18H15NO3,alkaloid,isoquinoline alkaloid,natural,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",10,
16,COc1ccc3c(c1)cc5NCCc4cc2OCOc2c3c45,"Xylopine  
",Active,Leishmania,Extracellular,112 ±0.2,,,,,,,,,293.322,Guatteria amplifolia,C18H15NO3,alkaloid,isoquinoline alkaloid,natural,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",10,
17,COc1cc2c3c(c1OC)-c4ccccc4C[C@@H]3NCC2,nornuciferine,Active,Leishmania,Extracellular,14 ±1.0,,,,,,,,,281.355,Guatteria amplifolia,C18H19NO2,alkaloid,isoquinoline alkaloid,natural,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",11,
18,COc1cc2c3c(c1OC)-c4ccccc4C[C@@H]3NCC2,nornuciferine,Active,Leishmania,Extracellular,28 ±11.3,,,,,,,,,281.355,Guatteria amplifolia,C18H19NO2,alkaloid,isoquinoline alkaloid,natural,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",11,
19,COc1cc2c3c(c1OC)-c4ccccc4C[C@@H]3NCC2,nornuciferine,Active,Leishmania,Extracellular,> 40,,,,,,,,,281.355,Guatteria amplifolia,C18H19NO2,alkaloid,isoquinoline alkaloid,natural,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",11,
20,COc1cc2c3c(c1OC)-c4cc5c(cc4CC3NCC2)OCO5,"nornantenine
",Active,Leishmania,Extracellular,24 ±0.03,,,,,,,,,325.364,Guatteria dumetorum,C19H19NO4,alkaloid,isoquinoline alkaloid,natural,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",12,
21,COc1cc2c3c(c1OC)-c4cc5c(cc4CC3NCC2)OCO5,"nornantenine
",Active,Leishmania,Extracellular,15 ±0.45,,,,,,,,,325.364,Guatteria dumetorum,C19H19NO4,alkaloid,isoquinoline alkaloid,natural,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",12,
22,COc1cc2c3c(c1OC)-c4cc5c(cc4CC3NCC2)OCO5,"nornantenine
",Active,Leishmania,Extracellular,> 40,,,,,,,,,325.364,Guatteria dumetorum,C19H19NO4,alkaloid,isoquinoline alkaloid,natural,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",12,
23,COc4cc(OC)c3c[n+]2CCc1cc(O)c(OC)cc1c2cc3c4,,Inactive,Leishmania,Intracellular,,,,,,,,,,338.383,stem bark of Tinospora sinensis,C20H20NO4+,alkaloid,isoquinoline alkaloid,natural,"10.1021/cr400552x;
   10.1055/s-2003-41126 ",13,
24,COc4cc3C[C@H](C)[N+](c1ccc(OC)c2c(OC)cc(C)cc12)=C(C)c3c(OC)c4,"ancistrocladinium A 
",Active,Leishmania,Extracellular,4.90 ±2.93,,2.61,,,,,,,420.529,Ancistrocladus ealaensis (Ancistrocladaceae),C26H30NO4+,alkaloid,naphthylisoquinoline alkaloid,natural,"10.1021/cr400552x;
   10.1128/AAC.00936-06 ",14,
25,COc4cc3C[C@H](C)[N+](c1ccc(OC)c2c(OC)cc(C)cc12)=C(C)c3c(OC)c4,"ancistrocladinium A 
",Active,Leishmania,Extracellular,31.76 ±4.75,,,,,,,,,420.529,Ancistrocladus ealaensis (Ancistrocladaceae),C26H30NO4+,alkaloid,naphthylisoquinoline alkaloid,natural,"10.1021/cr400552x;
   10.1128/AAC.00936-06 ",14,
26,COc2cc1C[C@H](C)N=C(C)c1c(OC)c2c4c(C)cc3cccc(OC)c3c4O,ancistrocladidine,Active,Leishmania,Extracellular,,,2.9,,,,,,,405.494,Ancistrocladus tanzaniensis (Ancistrocladaceae),C25H27NO4,alkaloid,naphthylisoquinoline alkaloid,natural,10.1021/cr400552x,16,
27,COc3cc(OC)c(c1ccc(OC)c2c(OC)cc(C)cc12)c4C[C@H](C)N=C(C)c34,ancistrotanzanine B,Active,Leishmania,Extracellular,3.81,,1.6,,,,,,,419.521,,C26H29NO4,Alkaloid,Naphthylisoquinoline Alkaloid,natural,10.1021/cr400552x,17,
28,COc3cc(OC)c(c2c(C)cc1cccc(OC)c1c2O)c4C[C@H](C)N=C(C)c34,ancistrotanazanine A,Active,Leishmania,Extracellular,,,1.6,,,,,,,405.494,Ancistrocladus tanzaniensis (Ancistrocladaceae),C25H27NO4,alkaloid,naphthylisoquinoline alkaloid,natural,10.1021/cr400552x,18,
29,[H][C@]3(CC)CN2CCc1cc(O)c(OC)cc1[C@]2([H])C[C@]3([H])C[C@@]5(O)NCCc4cc(O)c(OC)cc45,klugine,Active,Leishmania,Extracellular,,,0.4,,,,,,,468.594,Psychotria klugii,C27H36N2O5,alkaloid,benzoquinolizidine alkaloid,natural,10.1021/cr400552x,19,
30,[H][C@]3(CC)CN2CCc1cc(OC)c(OC)cc1[C@]2([H])C[C@]3([H])CC5NCCc4cc(O)c(OC)cc45,cephaeline,Active,Leishmania,Extracellular,,,0.03,,,,,,,466.622,Psychotria klugii,C28H38N2O4,alkaloid,benzoquinolizidine alkaloid,natural,10.1021/cr400552x,20,
31,CN1CCc2cc(c3cc2C1Cc4ccc(c(c4)-c5cc(ccc5O)CC6c7c(cc(c(c7O3)OC)OC)CCN6C)OC)OC,"funiferine 
",Active,Leishmania,Extracellular,0.53 ±0.09,,,,,,,,,622.762,Triclisia patens,C38H42N2O6,alkaloid,benzoquinolizidine alkaloid,natural,"10.1021/cr400552x;
   10.1002/ptr.929  ",21,
32,[H][C@@]46Cc1ccc(OC)c(c1)c2cc(ccc2O)C[C@@]7([H])c3c(cc(OC)c(O)c3Oc5cc4c(cc5OC)CCN6C)CCN7C,tiliageine,Active,Leishmania,Extracellular,0.79 ±0.05,,,,,,,,,608.735,Triclisia patens,C37H40N2O6,alkaloid,benzoquinolizidine alkaloid,natural,"10.1021/cr400552x;
   10.1002/ptr.929  ",22,
33,CN1CCc2cc(c3cc2[C@H]1Cc4ccc(c(c4)Oc5ccc(cc5)C[C@H]6c7c(cc(c(c7O3)OC)OC)CCN6C)O)OC,oxyacanthine,Active,Leishmania,Extracellular,0.68 ±0.16,,,,,,,,,608.735,Triclisia patens,C37H40N2O6,alkaloid,benzoquinolizidine alkaloid,natural,"10.1021/cr400552x;
   10.1002/ptr.929  ",23,
34,CN1CCc2cc(c3cc2[C@@H]1Cc4ccc(cc4)Oc5cc(ccc5OC)C[C@H]6c7c(cc(c(c7O3)O)OC)CCN6C)OC,fangchinoline,Active,Leishmania,Extracellular,0.39,,,,,,,,,608.735,Triclisia patens,C37H40N2O6,alkaloid,benzoquinolizidine alkaloid,natural,"10.1021/cr400552x;
   10.1002/ptr.929  ",24,
35,[H][C@]34Cc1ccc(OC)c(c1)Oc2ccc(cc2)C[C@@]8([H])c6c(cc(OC)c7oc5cc(CCN3C)c4cc5oc67)CCN8C,isotriboline,Active,Leishmania,Extracellular,0.57 ±0.01,,,,,,,,,576.693,Psychotria klugii,C36H36N2O5,alkaloid,benzoquinolizidine alkaloid,natural,"10.1021/cr400552x;
   10.1002/ptr.929  ",25,
36,[H][C@@]13CC4CCC1([C@H](C)CC2[C@@](C)(CI)C(=O)N(CCOC(C)=O)CC23CC)[C@H](OC(C)=O)C4=C,,Active,Leishmania,Extracellular,33.7,,,,,,,,,585.523,Aconitum sp,C27H40INO5,alkaloid,diterpene alkaloid,natural,10.1021/cr400552x,26,
37,[H][C@@]13CC4CCC1([C@H](C)CC2[C@@](C)(CI)C(=O)N(CCOC(C)=O)CC23CC)[C@H](OC(C)=O)C4=C,,Active,Leishmania,Extracellular,162.3,,,,,,,,,585.523,Aconitum sp,C27H40INO5,alkaloid,diterpene alkaloid,natural,10.1021/cr400552x,26,
38,C=C[C@]7(C)[C@@H](OC1OCC(OS)C(O)C1OC2OC(C)C(O)C(O)C2O)CC[C@]8(C)C6=CC(O)C45C(=O)O[C@@](C)(C3CCC(C)(C)O3)[C@@]4(O)CC[C@@]5(C)C6CCC78,azitine,Active,Leishmania,Extracellular,27.9,,,,,,,,,825.027,Aconitum sp,C42H64O14S,alkaloid,diterpene alkaloid,natural,10.1021/cr400552x,27,
39,C=C[C@]7(C)[C@@H](OC1OCC(OS)C(O)C1OC2OC(C)C(O)C(O)C2O)CC[C@]8(C)C6=CC(O)C45C(=O)O[C@@](C)(C3CCC(C)(C)O3)[C@@]4(O)CC[C@@]5(C)C6CCC78,azitine,Inactive,Leishmania,Extracellular,,,,,,,,,,825.027,Aconitum sp,C42H64O14S,alkaloid,diterpene alkaloid,natural,10.1021/cr400552x,27,
40,[H][C@@]13CC5CCC1([C@H](C)CC2[C@]4(C)/C=N\CC23CCC4)[C@H](O)C5=C,isoazitine,Active,Leishmania,Extracellular,24.6,,,,,,,,,313.485,Aconitum sp,C21H31NO,alkaloid,diterpene alkaloid,natural,10.1021/cr400552x,28,
41,[H][C@@]13CC5CCC1([C@H](C)CC2[C@]4(C)/C=N\CC23CCC4)[C@H](O)C5=C,isoazitine,Inactive,Leishmania,Extracellular,,,,,,,,,,313.485,Aconitum sp,C21H31NO,alkaloid,diterpene alkaloid,natural,10.1021/cr400552x,28,
42,C[N@@+]2(C)[I+]C[C@H](OC(=O)/C=C/c1ccc(O)cc1)C[C@H]2C(=O)[O-],pyrrolidinium derivative,Active,Leishmania,,,,9.1,,,,,,,432.234,Phlomis brunneogaleata of the family Lamiaceae,C16H19INO5+,Alkaloid,Pyrrolidinium Alkaloid,natural,10.1021/cr400552x,29,
43,Cn1c2ccccc2c(=O)c3c1c4c(cc3O)O[C@@H](C4)[C@](CO)(C(=O)OC)O,rhodesiacridone,Active,Leishmania,Intracellular,10,,,,,,,,,385.372,Thamnosma rhodesica,C20H19NO7,Alkaloid,acridone alkaloid,natural,10.1021/cr400552x,30,
44,Cn1c2ccccc2c(=O)c3c1c4c(cc3O)O[C@@H](C4)[C@](CO)(C(=O)OC)O,rhodesiacridone,Inactive,Leishmania,Intracellular,,,,,,,,,,385.372,Thamnosma rhodesica,C20H19NO7,Alkaloid,acridone alkaloid,natural,10.1021/cr400552x,30,
45,CC(CO)(C1Cc2c(cc(c3c2n(c4ccccc4c3=O)C)O)O1)O,gravacridonediol,Active,Leishmania,Intracellular,10,,,,,,,,,341.363,Thamnosma rhodesica,C19H19NO5,alkaloid,acridone alkaloid,natural,10.1021/cr400552x,31,
46,CC(CO)(C1Cc2c(cc(c3c2n(c4ccccc4c3=O)C)O)O1)O,gravacridonediol,Active,Leishmania,Intracellular,1,,,,,,,,,341.363,Thamnosma rhodesica,C19H19NO5,alkaloid,acridone alkaloid,natural,10.1021/cr400552x,31,
47,Cn1c2ccccc2c(=O)c3c1c(c(c(c3O)OC)OC)OC,normelicopicine,Active,Leishmania,Extracellular,,,1.08,,,,,,,315.325,Teclea trichocarpa,C17H17NO5,alkaloid,acridone alkaloid,natural,10.1021/cr400552x,32,
48,Cn1c2ccccc2c(=O)c3c1cc(c(c3O)OC)OC,arborinine,Active,Leishmania,Extracellular,,,5.2,,,,,,,285.299,Teclea trichocarpa,C16H15NO4,alkaloid,acridone alkaloid,natural,10.1021/cr400552x,33,
49,c1ccc2c(c1)c3ccnc4c3n2c(=O)cc4," 
",Active,Leishmania,Axenic,,,,,,,,,,220.231,,C14H8N2O,alkaloid,beta-carboline alkaloid,natural,10.1021/cr400552x,34,
50,COc1cc2c3c(ccn2)c4ccccc4n3c1=O,,Active,Leishmania,Axenic,,,,,,,,,,250.257,,C15H10N2O2,alkaloid,beta-carboline alkaloid,natural,10.1021/cr400552x,35,
51,c1ccc2c(c1)c3c([nH]2)[C@]45C[C@@H]6[C@H]([C@H](O4)CN5CC3)[C@H](OC=C6C(=O)O)OC7[C@H]([C@@H]([C@H]([C@@H](O7)CO)O)O)O,cadambine acid,Active,Leishmania,Intracellular,1.2,,,,,,,,,530.53,Nauclea diderrichii,C26H30N2O10,alkaloid,beta-carboline alkaloid,natural,10.1021/cr400552x,38,
52,c1ccc2c(c1)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC/C=C\[C@H]8C7)O,manzamine A,Active,Leishmania,Extracellular,1.64,,0.9,,,,,,,548.775000000001,Indonesian sponge Acanthostrongylophora sp,C36H44N4O,alkaloid,manzamine alkaloid,natural,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",39,
53,c1cc2c3ccnc(c3[nH]c2c(c1)O)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC/C=C\[C@H]8C7)O,8-hydroxymanzamine A,Active,Leishmania,Extracellular,10.97,,,,,,,,,564.774000000001,Indonesian sponge Acanthostrongylophora sp,C36H44N4O2,alkaloid,manzamine alkaloid,natural,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",40,
54,c1ccc2c(c1)c3cc[n+](c(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC/C=C\[C@H]8C7)O)[O-],"manzamine A N-oxide 
",Active,Leishmania,Extracellular,1.94,,1.1,,,,,,,564.774000000001,Indonesian sponge Acanthostrongylophora sp,C36H44N4O2,alkaloid,manzamine alkaloid,natural,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",41,
55,c1ccc2c(c1)c3cc[nH+]c(c3[nH]2)C4=C[C@]5(CC/C=C\CCCC[NH+]6CC[C@H]4[C@]7(C6)[C@H]5N8CCCC(=O)CC[C@H]8C7)O,manzamine E,Active,Leishmania,Extracellular,,,6.72,,,,,,,566.79,Indonesian sponge Acanthostrongylophora sp,C36H46N4O2+2,alkaloid,manzamine alkaloid,natural,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",42,
56,c1cc2c(cc1O)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC(=O)CC[C@H]8C7)O,6-hydroxymanzamine E,Active,Leishmania,Extracellular,4.3,,,,,,,,,580.773,the Indonesian sponge Acanthostrongylophora sp,C36H44N4O3,alkaloid,manzamine alkaloid,natural,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",43,
57,c1cc2c3ccnc(c3[nH]c2c(c1)O)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCCC(=O)CC[C@H]8C7)O,manzamine F,Active,Leishmania,Extracellular,7.23,,,,,,,,,580.773,the Indonesian sponge Acanthostrongylophora sp,C36H44N4O3,alkaloid,manzamine alkaloid,natural,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",44,
58,c1ccc2c(c1)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5NCCCC/C=C\CC7)O,manzamine J,Active,Leishmania,Extracellular,45.39,,,,,,,,,550.791,Indonesian sponge Acanthostrongylophora sp,C36H46N4O,alkaloid,manzamine alkaloid,natural,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",45,
59,O[C@@]13/C=C(/CO)[C@H]5CCN(CCCC\C=C/CC1)C[C@@]45C[C@H]2/C=C\CCCCN2[C@H]34,ircinol A,Active,Leishmania,Extracellular,2.18,,0.9,,,,,,,412.618,Indonesian sponge Acanthostrongylophora sp,C26H40N2O2,alkaloid,manzamine alkaloid,natural,"10.1021/cr400552x;
   10.1016/j.bmc.2013.11.048 ",46,
60,C1CCN2CC[C@H]3C(=C[C@@](CC/C=C\C1)([C@H]4[C@]3(C2)C[C@H]/5N4CCCC/C=C5)O)C=O,"ircinal A 
",Active,Leishmania,Extracellular,[0.9-6.2],,,,,,,,,410.602,Indonesian sponge Acanthostrongylophora sp,C26H38N2O2,alkaloid,manzamine alkaloid,natural,10.1021/cr400552x,47,
61,c1cc2c(cc1O)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCC[C@@H]9CC[C@@]8(C7)O9)O,manzamine X,Active,Leishmania,Extracellular,,,[0.9-6.2],,,,,,,580.773000000001,Indonesian sponge Acanthostrongylophora sp,C36H44N4O3,alkaloid,manzamine alkaloid,natural,10.1021/cr400552x,48,
62,c1ccc2c(c1)c3ccnc(c3[nH]2)C4=C[C@]5(CC/C=C\CCCCN6CC[C@@H]4[C@]7(C6)[C@H]5N8CCC[C@@H]9CC[C@@]8(C7)O9)O,6-deoxymanzamine X,Active,Leishmania,Extracellular,,,[0.9-6.2],,,,,,,564.774000000001,Indonesian sponge Acanthostrongylophora sp,C36H44N4O2,alkaloid,manzamine alkaloid,natural,10.1021/cr400552x,49,
63,C1CCN2CC[C@H]3C(=C[C@@](CC/C=C\C1)([C@H]4[C@]3(C2)C[C@H]/5N4CCCC/C=C5)O)C6=NC=CC7=C6NC8=C7C=C(C=C8)O,manzamine Y,Active,Leishmania,Extracellular,,,1.6,,,,,,,564.774,Indonesian sponge Acanthostrongylophora sp.,C36H44N4O2,alkaloid,manzamine alkaloid,natural,10.1021/cr400552x,50,
64,[H][C@]/7(CC[C@]1([H])NCCc2c1[nH]c3ccccc23)C[C@@]6([H])c5[nH]c4ccc(C(C)=O)cc4c5CCN6CC7=C\C,ramiflorine A,Active,Leishmania,Extracellular,,,,,,,,,,492.667,Aspidosperma ramiflorum (Apocynaceae),C32H36N4O,alkaloid,indole alkaloid,natural,10.1021/cr400552x,51/52,
65,Cc3c1ccccc1nc4c(=O)c2ccccc2c(=O)c34,,Active,Leishmania,Extracellular,,,0.78,,,,,,,273.291,,C18H11NO2,alkaloid,pyridoacridinone alkaloid,natural,"10.1021/cr400552x;
10.1055/s-2003-40640 
    ",53,
66,CN(C)/C=C/c3c1ccccc1nc4c(=O)c2ccccc2c(=O)c34,,Active,Leishmania,Extracellular,,,1.7,,,,,,,328.371,,C21H16N2O2,alkaloid,pyridoacridinone alkaloid,natural,"10.1021/cr400552x;
    10.1055/s-2003-40640",54,
67,CN(C)CCc3c1ccccc1nc4c(=O)c2ccccc2c(=O)c34,,Active,Leishmania,Extracellular,,,1.9,,,,,,,330.387,,C21H18N2O2,alkaloid,pyridoacridinone alkaloid,natural,"10.1021/cr400552x
    10.1055/s-2003-40640",55,
68,CCSc2cc(=O)c4nc1ccccc1c3ccnc2c34,,Active,Leishmania,Extracellular,,,3.4,,,,,,,292.363,,C17H12N2OS,alkaloid,pyridoacridinone alkaloid,natural,"10.1021/cr400552x
    10.1055/s-2003-40640",56,
69,Cc5ccc(Sc2cc(=O)c4nc1ccccc1c3ccnc2c34)cc5,,Active,Leishmania,Extracellular,,,5.4,,,,,,,354.434,,C22H14N2OS,alkaloid,pyridoacridinone alkaloid,natural,"10.1021/cr400552x
    10.1055/s-2003-40640",57,
70,Nc2cc(=O)c4nc1ccccc1c3ccnc2c34,,Active,Leishmania,Extracellular,,,5.7,,,,,,,247.257,,C15H9N3O,alkaloid,pyridoacridinone alkaloid,natural,"10.1021/cr400552x
    10.1055/s-2003-40640",58,
71,O=c3c1ccccc1c5nccc4c2ccccc2nc3c45,,Active,Leishmania,Extracellular,,,6.8,,,,,,,282.302,,C19H10N2O,alkaloid,pyridoacridinone alkaloid,natural,"10.1021/cr400552x
    10.1055/s-2003-40640",59,
72,O=c3c1cccnc1c5nccc4c2ccccc2nc3c45,,Active,Leishmania,Extracellular,,,8.7,,,,,,,283.29,,C18H9N3O,alkaloid,pyridoacridinone alkaloid,natural,"10.1021/cr400552x
    10.1055/s-2003-40640",60,
73,CCCCCCCCC[C@@H]1C[C@@H]2CC[C@@H]3N2C(=N1)N[C@@H]([C@@H]3C(=O)O[C@H](C)CCCCCCC[C@@H]4C[C@@H]5CC[C@H]6N5C(=N4)N[C@H](C6)C)C,"batzelladine L
",Active,Leishmania,Extracellular,,,1.9,,,,,,,653.013,"Jamaican sponge Monanchora
unguifera",C39H68N6O2,alkaloid,batzelladine alkaloid,natural,10.1021/cr400552x,61,
74,CCCCCCC[C@@H]1C[C@@H]2CCC3=C(C(N=C(N23)N1)C)C(=O)OCCCCCCC[C@@H]4C[C@@H]5CC[C@H]6N5C(=N4)N[C@H](C6)C,batzelladine M,Active,Leishmania,Extracellular,,,8.5,,,,,,,594.889,"Jamaican sponge Monanchora
unguifera",C35H58N6O2,alkaloid,batzelladine alkaloid,natural,10.1021/cr400552x,62,
75,[H][C@@H]5CCC[C@@]2(N/C3=N/[C@]1(CC/C=C\[C@H](CC)O1)C[C@]4([H])CC[C@]([H])([C@@H]2C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)C[C@@H](C)CCN)N34)O5,ptilomycalin A,Active,Leishmania,Extracellular,,,5.9,,,,,,,785.172,"Jamaican sponge Monanchora
unguifera",C45H80N6O5,alkaloid,batzelladine alkaloid,natural,10.1021/cr400552x,63,
76,[H][C@]34CC[C@]5([H])[C@H](C(=O)OCCCCCCCCCCCCCCCC(=O)N(CCCN)C[C@@H](C)CCN)[C@]1(CCC[C@@H](O)O1)N/C(=N/[C@]2(CC/C=C\[C@H](CC)O2)C3)N45,crambescidine,Active,Leishmania,Extracellular,,,6.8,,,,,,,801.171,"Jamaican sponge Monanchora
unguifera",C45H80N6O6,alkaloid,batzelladine alkaloid,natural,10.1021/cr400552x,64,
77,CCCCCCCC[C@H]1C[C@]3(C)CC/C2=C(C(=O)OCCCCNC(=N)N)/C(CCCCC)/N=C(N1)\N23,batzelladine C,Active,Leishmania,Extracellular,,,5.5,,,,,,,516.775,"Jamaican sponge Monanchora
unguifera",C29H52N6O2,alkaloid,batzelladine alkaloid,natural,10.1021/cr400552x,65,
78,CCCCCCCC[C@H]1C[C@]3(C)CCc2c(C(=O)OCCCCNC(=N)N)c(CCCCC)nc(=N1)n23,dehydrobatzelladine C,Active,Leishmania,Extracellular,,,5.7,,,,,,,514.759,"Jamaican sponge Monanchora
unguifera",C29H50N6O2,alkaloid,batzelladine alkaloid,natural,10.1021/cr400552x,66,
79,[H][C@](C)(C[C@H]3CC[C@@]4([H])[C@]2([H])CC[C@@]1([H])[C@@]([H])(O)[C@@H](NC(=O)/C=C/C)[C@@]([H])(O)C[C@]1(C)[C@@]2([H])CC[C@]34C)N(C)C,,Active,Leishmania,Extracellular,,,52.74,,,,,,,460.703,Nepalese species Sarcococca hookeriana,C28H48N2O3,alkaloid,steroidal alkaloid,natural,"10.1021/cr400552x;
    10.1080/14786410701192736",67,
